company,company_id
"Resolute Management, Inc.",0
Aldi,1
First Notch Technology,2
Private,3
Integrated Services of Kalamazoo,4
DPSCD,5
AccumTech,6
VROOM,7
MICHIGAN CONFERENCE OF TEAMSTERS WELFARE FUND,8
Lyceum Dynamics,9
Change Everything Inc.,10
Common Ground,11
General Motors,12
Streams Inc,13
Quicken Loans,14
"Michigan Planners, Inc.",15
Maschmeyer Concrete Company of Florida,16
JND Legal Administration,17
Starr and Associates,18
"Deacom, Inc.",19
"Decision Information Resources, Inc",20
Christie Campus Health,21
"Prime MSO, LLC.",22
Qi Venture Partners,23
County of Washington,24
Amida Technology Solutions,25
Wellview Health,26
Team Velocity,27
Columbia Marking Tools,28
"Asset Protection Unit, Inc.",29
Liberty Mutual Insurance,30
"Edge Pharma, LLC.",31
Delta Research Inc,32
CNS Healthcare,33
Brook Valley Management,34
Auxilior Capital Partners,35
Stevens Engineers and Constructors,36
Dow Jones,37
Backer-Springfield (Backer EHP Inc.),38
Amfuel,39
Alliant Energy,40
"Paulson Investment Company, LLC",41
Comerica Bank,42
Mid-Delta Durable Medical Equipment,43
"Suracy Insurance Agency, Inc.",44
InterVarsity Christian Fellowship,45
Collection Experts Inc,46
Bath Community Hospital,47
DTSV,48
Soaren Management,49
SubjectWell,50
Global Fishing Watch,51
Pearson,52
Brinks Home Security™,53
Blue Owl,54
Methods Consultants,55
Pathrise,56
DataSprouts,57
University of Texas at Austin,58
Quest America,59
Ford Motor Company,60
Cloudbigdata Technologies,61
"Curative Inc,",62
Lyteworx Automation Systems,63
HP,64
Intuit,65
Specific Diagnostics,66
"RiceTec, Inc.",67
Northrop Grumman,68
"Skafos, LLC",69
SullivanCotter,70
National Geospatial-Intelligence Agency,71
Aegis Premier Technologies,72
"ENSCO, Inc.",73
Johns Hopkins Applied Physics Laboratory (APL),74
Blackwatch International Corporation,75
GEICO,76
Perspecta Labs,77
Microsoft,78
McKinsey & Company,79
FARMER MAC,80
GeneDx,81
Humana,82
PayPal,83
