location,company,title,salary,city,company_id,index
 Los Angeles,"Resolute Management, Inc.",Quantitative Analyst,"$50,000 - $60,000 a year", Los Angeles,0,0
 Los Angeles,Aldi,Data Analytics Specialist,"$62,000 a year", Los Angeles,1,1
 Los Angeles,First Notch Technology,Data Analyst with sql,$22 an hour, Los Angeles,2,2
 Los Angeles,Aldi,Data Analytics Associate II,$26.25 an hour, Los Angeles,1,3
 Los Angeles,Private,Data Analyst,$13 an hour, Los Angeles,3,4
 Los Angeles,Integrated Services of Kalamazoo,Data Analyst,Unknown, Los Angeles,4,5
"Detroit, MI 48202 (New Center area)",DPSCD,"Program Associate I, Data Analyst",$64.50 an hour,Detroit,5,6
"Livonia, MI 48152",AccumTech,Data Analyst,"$55,000 - $85,000 a year",Livonia,6,7
"Detroit, MI",VROOM,Data Analyst,Unknown,Detroit,7,8
"Detroit, MI 48216 (Briggs area)",MICHIGAN CONFERENCE OF TEAMSTERS WELFARE FUND,Claims Data Analyst Healthcare,$18 - $22 an hour,Detroit,8,9
"Newport Beach, CA",Lyceum Dynamics,Data Analyst,$40 - $50 an hour,Newport Beach,9,10
"Orlando, FL 32801 (Central Business District area)",Change Everything Inc.,Data Analyst Intern,Unknown,Orlando,10,11
"Bloomfield Hills, MI 48302",Common Ground,Data Analyst - Full-Time (Non-Exempt),Unknown,Bloomfield Hills,11,12
"Detroit, MI",General Motors,Data Analyst for Enterprise Integration Intern,Unknown,Detroit,12,13
"Detroit, MI 48226 (Downtown area)",Quicken Loans,Data Solutions Analyst,Unknown,Detroit,14,15
 Los Angeles,"Michigan Planners, Inc.",Employee Benefits Plan Analyst,Unknown, Los Angeles,15,16
 Los Angeles,Maschmeyer Concrete Company of Florida,Data Analyst,Unknown, Los Angeles,16,17
 Los Angeles,JND Legal Administration,Data Analyst,"$60,000 - $80,000 a year", Los Angeles,17,18
 Los Angeles,Starr and Associates,Data Analyst,"$80,000 - $106,242 a year", Los Angeles,18,19
 Los Angeles,"Deacom, Inc.",Data Specialist,"$60,000 - $95,000 a year", Los Angeles,19,20
 Los Angeles,"Decision Information Resources, Inc",Senior Data Analyst,"$80,000 - $115,000 a year", Los Angeles,20,21
 Los Angeles,Christie Campus Health,Data Research Analyst,$23 - $28 an hour, Los Angeles,21,22
 Los Angeles,"Prime MSO, LLC.",Jr. Data Analyst (Jr. DA),"$38,000 - $60,000 a year", Los Angeles,22,23
 Los Angeles,Qi Venture Partners,Research & Data Analyst,"$50,000 - $65,000 a year", Los Angeles,23,24
 Los Angeles,County of Washington,Data Analyst II,$17.88 an hour, Los Angeles,24,25
 Los Angeles,Amida Technology Solutions,Data Analyst,Unknown, Los Angeles,25,26
 Los Angeles,Wellview Health,Business Intelligence Analyst,"$65,000 - $90,000 a year", Los Angeles,26,27
 Los Angeles,Team Velocity,Mid-Level Data Analyst,Unknown, Los Angeles,27,28
 Los Angeles,Columbia Marking Tools,Customer Service/Data Entry,$14 - $15 an hour, Los Angeles,28,29
 Los Angeles,"Asset Protection Unit, Inc.",Overpayment Data Analyst/Programmer,"$70,000 - $100,000 a year", Los Angeles,29,30
 Los Angeles,Liberty Mutual Insurance,Principal Data Analyst,"$110,900 - $143,500 a year", Los Angeles,30,31
 Los Angeles,"Edge Pharma, LLC.",QC Microbiology Analyst,Unknown, Los Angeles,31,32
 Los Angeles,Delta Research Inc,Tactical Data Link Analyst,Unknown, Los Angeles,32,33
 Los Angeles,CNS Healthcare,Business Analyst,Unknown, Los Angeles,33,34
 Los Angeles,Brook Valley Management,Retail Data Analyst,"$60,000 - $75,000 a year", Los Angeles,34,35
 Los Angeles,Auxilior Capital Partners,Senior Credit Analyst,"$65,000 - $75,000 a year", Los Angeles,35,36
 Los Angeles,Stevens Engineers and Constructors,Project Controls Analyst,Unknown, Los Angeles,36,37
 Los Angeles,Dow Jones,"Data Engineer, Newsroom Data Products",Unknown, Los Angeles,37,38
 Los Angeles,Backer-Springfield (Backer EHP Inc.),Network Analyst,Unknown, Los Angeles,38,39
 Los Angeles,Amfuel,Cost/Schedule Analyst,"$50,000 a year", Los Angeles,39,40
 Los Angeles,Alliant Energy,Senior Data Warehouse/Data Modeling Analyst,Unknown, Los Angeles,40,41
 Los Angeles,"Paulson Investment Company, LLC",Investment Banking Analyst (Life Science),"$40,000 - $90,000 a year", Los Angeles,41,42
 Los Angeles,Comerica Bank,Technical Data Analytics Principal Engineer,Unknown, Los Angeles,42,43
 Los Angeles,Mid-Delta Durable Medical Equipment,DME Billing Analyst,Unknown, Los Angeles,43,44
 Los Angeles,"Suracy Insurance Agency, Inc.",Senior Data Analyst,Unknown, Los Angeles,44,45
 Los Angeles,InterVarsity Christian Fellowship,Data Quality Analyst,"$43,000 - $58,000 a year", Los Angeles,45,46
 Los Angeles,Collection Experts Inc,Data Analyst/Helpdesk,Unknown, Los Angeles,46,47
 Los Angeles,Bath Community Hospital,Revenue Integrity Analyst,Unknown, Los Angeles,47,48
 Los Angeles,DTSV,Data Analyst,Unknown, Los Angeles,48,49
 Los Angeles,Soaren Management,Data Scientist,Unknown, Los Angeles,49,50
 Los Angeles,SubjectWell,Data Scientist,Unknown, Los Angeles,50,51
 Los Angeles,Global Fishing Watch,Data Scientist,$45 - $65 an hour, Los Angeles,51,52
"Lansing, MI 48917",Pearson,Data Scientist,Unknown,Lansing,52,53
