company,company_id
#A DELIVERY COMPANY,0
1-800-GOT-JUNK? Baltimore,1
1-888-OHIOCOMP,2
10 Fitness,3
17th Street Automotive/Exxon Fuels,4
18|8 Fine Men's Salon - Elm Grove,5
1UP Logistics,6
1st Financial Bank USA,7
202 Properties,8
2020 Vision Express,9
21st Century Janitorial Services Inc,10
2200 ALPINE AVE BIGGBY COFFEE,11
"2400 Unser Blvd Rio Rancho, NM 87124",12
248 Concept LLC,13
24th Street Animal Clinic,14
2K Games,15
3C Manufacturing,16
3M,17
44 Blue Productions,18
4D TRANSPORTATION INC,19
5 Minute Pharmacy,20
500 Degrees Studio,21
515 Living,22
5amrosa,23
"7-Eleven, Inc.",24
7F Dog Trainer,25
7th Sense Wellness and Massage,26
"8300 Constitution Ave NE Albuquerque, NM 87110-761...",27
843 Productions LLC,28
8minute Solar Energy,29
99 Ranch Market,30
"A & E Worldwide, LLC",31
A North Raleigh Animal Hospital,32
A Plus Health Care,33
A Team Transmissions,34
A Tech,35
"A to Z Do It All, Inc. dba Killer Fashions",36
A-1 Concrete Leveling,37
A-1 Locksmith,38
A-Plus Construction Services Corp.,39
A-Team Health Agency,40
A-Z multilingual Inc,41
AA Windows N Doors,42
"AAA Carting & Rubbish Removal, Inc.",43
"AAA Northern California, Nevada & Utah",44
ABC Supply,45
ABF Freight,46
ABM Industries,47
ACCESS RECEIVABLES MANAGEMENT,48
ACE Hardware,49
ACE Surgical Supply Co. Inc.,50
ACI Federal™,51
ACLU,52
ACN Holding,53
"ACTIOn-Housing, Inc - Corporate Office",54
"ACTS Aviation Security, Inc.",55
ADP,56
ADT,57
ADT Security Services,58
AEMC,59
AFLAC- Columbia,60
AG Globe Services,61
AHA,62
AHA American Hospital Association,63
AHVS,64
AIS Healthcare,65
AK Must Love Dogs,66
AKIRA,67
AL Services,68
AL&A Inc.,69
ALDI,70
ALEGENT CREIGHTON CLINIC,71
ALEXIS,72
ALG HLTH-IMMANUEL MEDICAL CTR,73
ALLEGRO CHARTER SCHOOL OF MUSIC,74
"AME Electrical Contracting, Inc.",75
AMERICAN CANCER SOCIETY,76
"AMG Prime, LLC",77
AMI Metals,78
AMIN'S FAMILY PRACTICE ASSOC,79
ANB Bank,80
ANIMAL RESCUE LEAGUE OF IOWA,81
ANNIE,82
"AO General Contractor, Inc.",83
APS Financial Inc.,84
APTIM,85
ARCS,86
ARK ANIMAL HOSPITAL,87
ARcare,88
"ASAP Solutions Group, LLC",89
ASCIO Wireless,90
ASD - Answering Service for Directors,91
ASM Global,92
"ASSEMBLERS, INC.",93
AT&T,94
ATLANTA POSTAL CRED.,95
AUGUSTA ENT PC,96
AZ Canine Center,97
AZ surgery for Oral & Maxillofacial surgery,98
"Abaci Consulting, Inc.",99
AbbVie,100
Abco Ltd.,101
Ability Chiropractic,102
Abington Aesthetic & Laser Medical Center,103
Abode Services,104
Abrams Technical Services,105
Absolute Dental,106
Abundant Solutions,107
Academy of Art University,108
Acadian SMS,109
Accelerated Analytical,110
"Accent Controls, Inc",111
Access Appeal,112
Access Pharmaceutical,113
"AccuCheck, Inc.",114
AceCo,115
Achievement First Ops,116
Acreage Holdings,117
Action Behavior Centers,118
"Action Plumbing, Heating, AC & Electric, Inc.",119
Action Security Iron,120
Action Tune Inspections,121
Activ4pets,122
"Active Design & Build, LLC",123
Activus Connect,124
"Acton Road Pediatrics, LLC",125
Ad Pros,126
Ad Sales Genius,127
Ada County,128
Adagio Health Inc.,129
Adaptive Rehab Services,130
Adcock Employment,131
"Adcomm Installations, Inc",132
"Addario’s, Inc.",133
Adelphoi Village Inc,134
Adidas,135
Adlumin Inc.,136
Admin and Customer Service Professionals,137
"Administrative Strategies, LLC",138
Admiral Beverage Corporation,139
"Admiral Packaging, Inc.",140
"Advance Services, Inc.",141
Advance Your Reach,142
Advanced Commercial Painting,143
Advanced Dental Group of Hoboken,144
Advanced Drainage Systems,145
Advanced Hearing Center,146
Advanced Injury Care Clinic,147
Advantage Living Center Samaritan,148
Advantage Surveillance LLC,149
Advarra,150
AdventHealth Centra Care,151
Adventure Rooms Connecticut,152
AdvisorNet Financial,153
Advocations,154
Aegis Sciences Corporation,155
AeroFarms,156
