location,company,title,salary,city,company_id,index
 Los Angeles,Fluid Truck Share,Data Engineer,Unknown, Los Angeles,0,0
 Los Angeles,Mindcolor Autism,Lead Board Certified Behavior Analyst (BCBA),Unknown, Los Angeles,1,1
 Los Angeles,SPECTRUM,Network Operations Analyst II - Inventory Management,Unknown, Los Angeles,2,2
 Los Angeles,SPECTRUM,Systems Engineer II - Application Analyst,Unknown, Los Angeles,2,3
"Denver, CO","Edison Software, Inc.",Data Analyst,Unknown,Denver,4,5
"Denver, CO 80202 (Lodo area)",FJA-US Inc.,Data Analyst,Unknown,Denver,6,7
"Denver, CO",Indian Health Service,"Associate Education Research Scientist/Analyst, AD-1730-00","$72,000 - $101,000 a year",Denver,5,8
"Denver, CO 80206 (Cherry Creek area)",Brilliant Earth,"Business Analyst, Denver",Unknown,Denver,8,10
"Denver, CO 80203 (North Capitol Hill area)",State of Colorado Job Opportunities,Healthcare-Associated Infections Surveillance Data Analyst - 2452,"$58,764 - $86,004 a year",Denver,10,12
"Denver, CO 80206 (Cherry Creek area)",Brilliant Earth,"Analyst, Merchandising & Inventory Planning",Unknown,Denver,8,13
 Los Angeles,SPECTRUM,Senior Data Scientist,Unknown, Los Angeles,2,14
 Los Angeles,A-1 Careers,GIS Analyst,Unknown, Los Angeles,11,15
 Los Angeles,Millennium Hotels & Resorts,Financial Analyst,"$60,000 - $70,000 a year", Los Angeles,12,16
 Los Angeles,USAA,Deposits Product Management Analyst - Mid Level,Unknown, Los Angeles,13,17
 Los Angeles,National Geospatial-Intelligence Agency,Source Strategies Analyst,"$100,027 - $153,659 a year", Los Angeles,14,18
 Los Angeles,USAA,Learning and Development Evaluation Analyst II,Unknown, Los Angeles,13,19
 Los Angeles,USAA,Decision Science Analyst II,Unknown, Los Angeles,13,20
"Denver, CO 80206 (Cherry Creek area)",Brilliant Earth,"Financial Planning & Analysis Analyst, Denver",Unknown,Denver,8,21
"Denver, CO 80202 (Union Station area)",Autodesk,Inside Sales Data Analyst,Unknown,Denver,15,22
"Denver, CO",Indian Health Service,"Education Research Scientist/Analyst, AD-1730-00","$102,000 - $140,000 a year",Denver,5,23
"Denver, CO 80216 (Five Points area)",CirrusMD,Data Analyst,Unknown,Denver,17,25
