Asking Price,Street,City,State
"$280,950+",Madison B Plan, Kendall Lakes,
"$252,800+",Elise B Plan, Kendall Lakes,
"$274,150+",Elise B GR Plan, Kendall Lakes,
"$224,740+",Balboa Plan, Mustang Crossing,
"$195,990+",Polo Plan, Mustang Crossing,
$--,Coming Soon Plan, Mustang Ridge,
"$273,150+",Elise C GR Plan, Kendall Lakes,
"$230,000",1517 Bayou Dr, Alvin, TX 77511
"$217,740+",Pizarro Plan, Mustang Crossing,
"$235,000",5180 Kendall Cove Ct, Alvin, TX 77511
"$232,490+",Magellan Plan, Mustang Crossing,
"$179,900",7ACRE Fm 2403 Rd, Alvin, TX 77511
"$205,490+",Desoto Plan, Mustang Crossing,
"$225,000",1723 Redwood Cir, Alvin, TX 77511
"$286,500+",Lennox B Plan, Kendall Lakes,
"$225,990",5193 Dry Hollow Dr, Alvin, TX
"$222,490+",Hudson Plan, Mustang Crossing,
"Est. $185,712",1609 S Booth Ln, Alvin, TX 77511
"$228,900",1820 Winding Trail Ln, Alvin, TX 77511
"$183,240+",Primrose Plan, Mustang Crossing,
"$230,000",704 Columbia St, Alvin, TX 77511
"$216,740+",Boone Plan, Mustang Crossing,
"$219,900",383 De Coster Blvd, Alvin, TX 77511
"$311,950+",Rylan B Plan, Kendall Lakes,
"$213,740+",Cabot Plan, Mustang Crossing,
"$227,490+",Cortez Plan, Mustang Crossing,
"$317,000",17200 East Ave, Alvin, TX 77511
"$279,000",502 W Sealy St, Alvin, TX 77511
"$230,000",1516 W Blum St, Alvin, TX
"$189,990+",Magnolia Plan, Mustang Crossing,
"$449,000",0 Clifford St, Alvin, TX 77511
"$362,500",3387 Clearwood Cir, Alvin, TX 77511
"$135,000",17131 East Ave, Alvin, TX 77511
"$524,500",2002 Mustang Rd, Alvin, TX 77511
"$247,900",719 Rim Water Dr, Alvin, TX 77511
"$345,000",0 Rowan Burton Rd, Alvin, TX 77511
"$170,000",1502 Bellaire Blvd, Alvin, TX 77511
"$178,000",1611 W Sealy St, Alvin, TX 77511
"$259,000",394 Lake Line Dr, Alvin, TX 77511
"$235,000",1203 Quarterhorse Dr, Alvin, TX 77511
