Asking Price,Street,City,State
"$499,946",1946 Calvert St NW APT 1, Washington, DC 20009
"$525,000",5308 Kansas Ave NW, Washington, DC 20011
"$369,500",3315 Ely Pl SE, Washington, DC 20019
"$1,550,000",3321 Mckinley St NW, Washington, DC 20015
"$1,185,000",3408 13th St NW, Washington, DC 20010
"$325,000",574 49th Pl NE, Washington, DC 20019
"$339,900",1016 17th Pl NE #105, Washington, DC
"$304,900",1016 17th Pl NE #7, Washington, DC
"$184,000",44 49th St SE APT 201, Washington, DC 20019
"$475,000",1432 V St SE, Washington, DC 20020
"$359,900",3902-3902 14th St NW #416, Washington, DC 20011
"$359,900",3902 14th St NW APT 416, Washington, DC 20011
"$879,000",1915 Shepherd St NE, Washington, DC 20018
"$525,000",1616 26th Pl SE #2, Washington, DC
"$1,050,000",203 15th St NE, Washington, DC 20002
"$599,000",4731 4th St NW, Washington, DC 20011
"$549,000",3900 Watson Pl NW #A-7C, Washington, DC 20016
"$424,900",2100 19th St NW #801, Washington, DC 20009
"$600,000",2338 13th Pl NE, Washington, DC 20018
"$430,000",1924 Trenton Pl SE, Washington, DC 20020
"$365,000",2440 16th St NW APT 104, Washington, DC 20009
"$1,200,000",500 Dahlia St NW, Washington, DC 20012
"$399,000",1000 New Jersey Ave SE UNIT 1217, Washington, DC 20003
"$799,000",5113 Western Ave NW, Washington, DC 20016
"$850,000",1832 Varnum St NE, Washington, DC 20018
"$1,225,000",1401 Q St NW APT 205, Washington, DC 20009
"$679,000",2511 Queens Chapel Rd NE, Washington, DC
"$650,000",5303 13th St NW, Washington, DC 20011
"$629,000",122 Tuckerman St NE, Washington, DC 20011
"$589,000",710 Sheridan St NW, Washington, DC 20011
"$560,000",3823 Commodore Joshua Barney Dr NE, Washington, DC 20018
"$1,200,000",3922 14th St NW, Washington, DC 20011
"$949,999",904 Quincy St NE, Washington, DC 20017
"$398,500",2501 Sayles Pl SE APT 11, Washington, DC 20020
"$689,900+",The Corcoran Plan, Riggs Park Place,
"$839,999",1226 Oates St NE, Washington, DC 20002
"$549,900",57 N St NW #H-102, Washington, DC
"$479,900",57 N St NW #H-310, Washington, DC
"$599,000",919 Florida Ave NW APT 603, Washington, DC 20001
"$689,000",1337 K St SE #202, Washington, DC 20003
