Asking Price,Street,City,State
"$4,795,000",1512 Dolphin Ter, Corona Del Mar, CA 92625
"$999,999",14 Ima Loa Ct #157, Newport Beach, CA 92663
"$2,849,000",1 Vernon, Newport Coast, CA 92657
"$179,000",239 Plymouth Ave, Newport Beach, CA 92660
"$2,100,000",129 25th St, Newport Beach, CA 92663
"$1,999,999",714 Heliotrope Ave, Corona Del Mar, CA 92625
"$7,995,000",4533 Perham Rd, Corona Del Mar, CA 92625
"$2,100,000",1934 Port Edward Pl, Newport Beach, CA 92660
"$2,295,000",1431 Sea Ridge Dr, Newport Beach, CA 92660
"$1,595,000",431-5 Heliotrope Ave, Corona Del Mar, CA 92625
"$2,695,000",317 Via Lido Nord, Newport Beach, CA 92663
"$1,849,000",19 Rue Fontainbleau, Newport Beach, CA 92660
"$1,125,000",260 Cagney Ln APT 308, Newport Beach, CA 92663
"$2,635,000",619 Marguerite Ave, Corona Del Mar, CA
"$4,750,000",913 W Bay Ave, Newport Beach, CA 92661
"$1,350,000",35 Seabrook Cv, Newport Beach, CA 92660
"$1,375,000",23 Saraceno, Newport Coast, CA 92657
"$1,625,000",470 Vista Trucha, Newport Beach, CA 92660
"$3,250,000",3904 River Ave, Newport Beach, CA 92663
"$285,000",33 Saratoga #0, Newport Beach, CA 92660
"$1,695,000",118 26th St, Newport Beach, CA 92663
"$2,700,000",1613 W Balboa Blvd #1613, Newport Beach, CA 92663
"$6,780,000",10 Blue Shr, Newport Coast, CA 92657
"$1,200,000",1661 Orchard Dr, Newport Beach, CA 92660
"$978,888",40 Anjou, Newport Coast, CA 92657
"$789,000",7 Goodwill Ct, Newport Beach, CA 92663
"$5,195,000",1820 E West Oceanfront, Newport Beach, CA
"$1,695,000",1737 Centella Pl, Newport Beach, CA 92660
"$4,595,000",3 Twin Lakes Cir, Corona Del Mar, CA 92625
"$1,995,000",216 Sapphire Ave, Newport Beach, CA 92662
"$4,995,000",7 Carmel Bay Dr, Corona Del Mar, CA 92625
"$695,000",50 Seaborough, Newport Beach, CA 92660
"$3,795,000",312 Collins Ave, Newport Beach, CA 92662
"$2,795,000",5 Harbor Pointe Dr, Corona Del Mar, CA 92625
"$4,925,000",1119 E Balboa Blvd APT A, Newport Beach, CA 92661
"$1,900,000",1515 Priscilla Ln, Newport Beach, CA 92660
"$1,395,000",400 Vista Flora, Newport Beach, CA 92660
"$797,000",210 Lille Ln, Newport Beach, CA 92663
"$3,397,000",914 W Balboa Blvd, Newport Beach, CA
"$3,397,000",914 W Balboa Blvd #A & B, Newport Beach, CA
