Asking Price,Street,City,State
"$1,150,000",4633 Far West Blvd APT 3, Austin, TX 78731
"$350,000",87 Navasota St, Austin, TX 78702
"$299,999",1100 Hatteras Dr, Austin, TX 78753
"$1,010,630",16312 Donoher Dr, Austin, TX
"$580,000",2705 White Horse Trl, Austin, TX 78757
"$369,000",8410 Spring Valley Dr, Austin, TX 78736
"$675,000",1126 Linden St #1, Austin, TX 78702
"$448,000",2804 S 1st St #1109, Austin, TX 78704
"$284,500",8512 Palace Pkwy, Austin, TX 78748
"$739,990",2716 Bear Springs Trl, Austin, TX 78748
"$539,900",7417 Cordoba Dr, Austin, TX 78724
"$325,000",908 Poplar St APT 309, Austin, TX 78705
"$849,000",1506 Weyford Dr, Austin, TX 78757
"$349,900",7405 Whispering Oaks Dr, Austin, TX 78745
"$479,900",7601 Cooper Ln #29, Austin, TX 78745
"$305,300",11707 Raymond C Ewry Ln, Austin, TX 78748
"$380,000",4401 Keota Dr, Austin, TX 78749
"$989,000",4307 Cat Mountain Dr, Austin, TX 78731
"$529,000",1801 Duke Ave, Austin, TX 78757
"$139,900",1705 Crossing Pl APT 132, Austin, TX 78741
"$619,900",9903 Brandywine Cir, Austin, TX 78750
"$819,000",2321 University Club Dr, Austin, TX 78732
"$339,000",12612 Linford Dr, Austin, TX 78753
"$294,900",4361 S Congress Ave UNIT 213, Austin, TX 78745
"$275,000",1509 Airedale Rd #1302, Austin, TX 78748
"$303,500",10109 Alley May Dr, Austin, TX 78748
"$1,350,000",4511 Avenue F, Austin, TX 78751
"$350,000",1185 Greenwood Ave, Austin, TX 78721
"$749,900",9206 Spring Hollow Dr, Austin, TX 78750
"$315,000",2014 Magazine St, Austin, TX 78727
"$592,000",3401 Kay St, Austin, TX 78702
"$530,000",606 W Lynn St APT 2, Austin, TX 78703
"$215,000",9226 Jollyville Rd APT 182, Austin, TX 78759
"$496,990+",Plan 270 Plan, Parten  75ft. lots,
"$695,000",9312 Rolling Oaks Trl, Austin, TX 78750
"$1,350,000",2714 Hillview Green Ln, Austin, TX 78703
"$750,000",200 W Gibson St, Austin, TX 78704
"$405,000",3007 E 12th St #C, Austin, TX 78702
"$489,000",2601 N Quinlan Park Rd SUITE 303, Austin, TX 78732
"$567,990+",Plan 224 Plan, Parten  85ft. lots,
