,U.S. Customs and Border Protection,Border Patrol Agent,,4.1
,Ala Moana Dental Care,3 DAYS ON/4 DAYS OFF FT Dental Treatment Coordinator,$13 - $18 an hour,
,Tardus Wealth Strategies,Personal Finance Coach,$25 - $125 an hour,
,Wilson Care Group,Finance Specialist,,
"Waimānalo, HI 96795",Palace Entertainment,Sea Life Park - Wildlife Keeper II (HI060),,3.5
"Honolulu, HI",Amazon Flex,Delivery Driver for Amazon Flex,$18 - $25 an hour,3.6
"Honolulu, HI",GEICO,GEICO Call Center Rep - Claims Customer Service - $21.84/hr starting,,3.5
"Honolulu, HI",Indian Health Service,"Program Support Assistant, ZS","$43,256 - $75,744 a year",3.9
"Honolulu, HI",Hallmark Aviation Services,Airline Customer Service Agent - Morning Shifts,,3.5
"Honolulu, HI 96814",Ethos Veterinary Health,Kennel Assistant,,3.1
"Honolulu, HI","Waitr, Inc.",Corporate Customer Support Agent,$16 - $17 an hour,2.9
"Honolulu, HI",Oahu Mexican Grill,Front counter staff,$14 - $18 an hour,
"Honolulu, HI 96819 (Kalihi-Palama area)",First Hawaiian Bank,Call Center Representative Agent,$16 an hour,4.2
"Honolulu, HI",Kuakini Medical Center,Imaging Clerk,,3.8
,Kalakaua Gardens,SCHEDULER / CENTRAL SUPPLY CLERK,$16 - $19 an hour,3.0
,Sharetea Hawaii,Barista and Cashier,$11 - $13 an hour,
,Sharetea Hawaii,Barista and Cashier,$11 - $13 an hour,
,Navian Hawaii,Procurement and Facilities Coordinator,,
,Hawaiian Financial Federal Credit Union,Controller,"$50,000 - $80,000 a year",
,"MK Engineers, Ltd.",CAD Operator,$16 - $22 an hour,
"Honolulu, HI",US Department of Commerce,"Program Support Assistant, ZS-0303-04/05 (MAP)","$43,256 - $75,744 a year",4.1
"Honolulu, HI",Precious Ones,Child care/Babysitter/Nanny,$20 - $25 an hour,
"Honolulu, HI 96813 (Downtown area)",Tardus Wealth Strategies,Personal Finance Coach,$25 - $125 an hour,
"Honolulu, HI",Hawaiian Kingdom Tour and Transportation Services,Dispatcher/Customer Service Representative,$12.25 - $15.00 an hour,
"Honolulu, HI 96813 (Ala Moana-Kakaako area)",Kupu,Hawai'i Conservation Opportunities,"Up to $1,600 a month",
"Honolulu, HI",Punahou,Library Technican - Kosasa Learning Commons,,
"Oahu Island, HI","City and County of Honolulu, HI",METROPOLITAN POLICE RECRUIT (ON-ISLAND APPLICANT),"$5,364 a month ++",4.2
"Honolulu, HI 96812 (Downtown area)",Hawaiian Dredging Construction Company Inc,LABORER APPRENTICE,,
"Honolulu, HI 96813 (Downtown area)",Kukui Plaza Dental Associates,Front Desk Receptionist,$13 - $20 an hour,
"Honolulu, HI",Apple,Expert,,4.2
,Ala Moana Dental Care,3 DAYS ON/4 DAYS OFF FT Dental Treatment Coordinator,$13 - $18 an hour,
,U.S. Customs and Border Protection,Border Patrol Agent,,4.1
"Honolulu, HI",Hawaiian Kingdom Tour and Transportation Services,Dispatcher/Customer Service Representative,$12.25 - $15.00 an hour,
"Honolulu, HI 96813 (Ala Moana-Kakaako area)",Kupu,Hawai'i Conservation Opportunities,"Up to $1,600 a month",
"Honolulu, HI",Punahou,Library Technican - Kosasa Learning Commons,,
"Oahu Island, HI","City and County of Honolulu, HI",METROPOLITAN POLICE RECRUIT (ON-ISLAND APPLICANT),"$5,364 a month ++",4.2
"Honolulu, HI 96812 (Downtown area)",Hawaiian Dredging Construction Company Inc,LABORER APPRENTICE,,
"Honolulu, HI 96813 (Downtown area)",Kukui Plaza Dental Associates,Front Desk Receptionist,$13 - $20 an hour,
"Honolulu, HI",Apple,Expert,,4.2
"Honolulu, HI",US Department of Defense,SECRETARY (OA),"$49,390 - $64,207 a year",4.2
,Caswell Orthodontics,Dental/Orthodontic Schedule and Patient Care Coordinator,$15 - $22 an hour,
"Honolulu, HI 96814 (Ala Moana-Kakaako area)",TARGET,Guest Advocate (Cashier or Front of Store Attendant),,3.6
,United Parcel Service,UPS Honolulu Package Handler,$14.00 - $14.50 an hour,3.8
,Elite Endodontics,Full Time Receptionist/Patient Coordinator,$17 - $22 an hour,
"Honolulu, HI",CVS Health Retail,District Leader FLD Mgmt,"$110,000 - $130,000 a year",3.4
"Honolulu, HI 96826 (McCully-Moiliili area)",Kalakaua Gardens,SCHEDULER / CENTRAL SUPPLY CLERK,$16 - $19 an hour,3.0
"Tripler Army Medical Center, HI",Indian Health Service,Hospital Housekeeping Assistant,"$36,003 - $46,807 a year",3.9
,Sharetea Hawaii,Barista and Cashier,$11 - $13 an hour,
,"DTRIC Insurance Company, Limited",Commerical Lines Underwriter,"$53,000 - $65,000 a year",3.6
