Asking Price,Street,City,State
"$895,000",3444 Navajo St #10, Denver, CO 80211
"$329,000",9300 E Florida Ave UNIT 1004, Denver, CO 80247
"$995,000",4715 N Vallejo St, Denver, CO 80211
"$2,600,000",550 Fillmore St, Denver, CO 80206
"$599,000",3201 Olive St, Denver, CO 80207
"$650,000",4431 N Tennyson St UNIT 5, Denver, CO 80212
"$675,000",4431 N Tennyson St UNIT 1, Denver, CO 80212
"$662,000",4431 N Tennyson St UNIT 12, Denver, CO 80212
"$650,000",4431 N Tennyson St UNIT 4, Denver, CO 80212
"$657,000",4431 N Tennyson St UNIT 8, Denver, CO 80212
"$1,100,000",4636 Bryant St, Denver, CO 80211
"$471,200",5179 N Eliot St, Denver, CO 80221
"$499,000",1344 Winona Ct, Denver, CO 80204
"$310,000",615 Perry St, Denver, CO 80204
"$339,900",1725 Yosemite St, Denver, CO 80220
"$527,500",410 Acoma St UNIT 512, Denver, CO 80204
"$279,900",677 Vrain St APT 10, Denver, CO 80204
"$799,000",3529 Quivas St, Denver, CO 80211
"$439,000",350 Detroit St APT 309, Denver, CO 80206
"$828,135",6808 E Lowry Blvd, Denver, CO 80230
"$300,000",3810 S Yosemite St, Denver, CO 80237
"$499,500",350 Detroit St APT 408, Denver, CO 80206
"$449,000",1015 E 23rd Ave, Denver, CO 80205
"$560,000",2940 S Vine St, Denver, CO 80210
"$475,000",400 E 3rd Ave APT 304, Denver, CO 80203
"$10,987,000",460 Saint Paul St, Denver, CO 80206
"$575,000",8246 E Lehigh Ave, Denver, CO 80237
"$444,000",412 Raleigh St, Denver, CO 80204
"$355,000",8200 E 8th Ave #101, Denver, CO 80230
"$699,900+",Five Plan, Alto at Stapleton,
"$360,000",3317 Blake St SUITE 103, Denver, CO 80205
"$550,000",2895 Dexter St, Denver, CO 80207
"$829,000",1004 S Pennsylvania St, Denver, CO 80209
"$1,050,000",3222 W 16th Ave, Denver, CO 80204
"$800,000",217 W 1st Ave, Denver, CO 80223
"$289,000",100 Park Ave W APT 306, Denver, CO 80205
"$390,000",4024 Milwaukee St, Denver, CO 80216
"$370,000",14566 Andrews Dr, Denver, CO 80239
"$514,999",7102 E Wesley Ave, Denver, CO 80224
"$2,895,000",3479 E Kentucky Ave, Denver, CO 80209
