Asking Price,Street,City,State
"$474,900",2935 W Master St, Philadelphia, PA
"$219,000",1200 Stirling St, Philadelphia, PA 19111
"$305,000",11910 Barlow St, Philadelphia, PA 19116
"$229,900",3148 Cottman Ave, Philadelphia, PA 19149
"$479,900",3734 Brandywine St, Philadelphia, PA 19104
"$189,900",7051 Charles St, Philadelphia, PA 19135
"$275,000",821 Stanwood St, Philadelphia, PA 19111
"$99,950",244 Laveer St, Philadelphia, PA 19120
"$329,900",9258 Annapolis Rd, Philadelphia, PA 19114
"$59,999",3151 G St #G, Philadelphia, PA 19134
"$479,000",1113 S 7th St, Philadelphia, PA 19147
"$267,000",7936 Langdon St, Philadelphia, PA 19111
"$389,900",1223 N 5th St #1, Philadelphia, PA 19122
"$825,000",224-30 W Rittenhouse St #606, Philadelphia, PA 19144
"$150,000",6027 Hegerman St, Philadelphia, PA 19135
"$150,000",1766 N Aberdeen St, Philadelphia, PA 19131
"$450,000",720 Grakyn Ln, Philadelphia, PA 19128
"$252,000",2649 Braddock St, Philadelphia, PA 19125
"$489,000",551 Dupont St, Philadelphia, PA
"$489,000",553 Dupont St, Philadelphia, PA
"$75,000",2321 N Lambert St, Philadelphia, PA 19132
"$340,000",11981 Dumont Rd, Philadelphia, PA 19116
"$264,900",5409 Vicaris St, Philadelphia, PA 19128
"$365,500",1126 Linn St, Philadelphia, PA 19147
"$84,900",2707 W Westmoreland St, Philadelphia, PA 19129
"$299,900",2870 Walnut Hill St, Philadelphia, PA 19152
"$545,000",908-10 Spruce St APT 4, Philadelphia, PA 19107
"$59,999",3151 G St, Philadelphia, PA 19134
"$175,900",6024 Frontenac St, Philadelphia, PA 19149
"$749,000",1327 S Hancock St, Philadelphia, PA 19147
"$165,000",612 Lindley Ave, Philadelphia, PA 19120
"$70,000",1669 Orthodox St, Philadelphia, PA 19124
"$429,000",2212 E Gordon St, Philadelphia, PA 19125
"$339,000",2321 Solly Ave, Philadelphia, PA 19152
"$70,000",1667 Orthodox St, Philadelphia, PA 19124
"$385,000",1810 Rittenhouse Sq APT 608, Philadelphia, PA 19103
"$154,900",6221 N Palethorp St, Philadelphia, PA 19120
"$70,000",1665 Orthodox St, Philadelphia, PA 19124
"$239,900",2737 Maxwell St, Philadelphia, PA 19136
"$245,000",1537 Stoney Ln #B, Philadelphia, PA 19115
