location,company,title,salary
,Fluid Truck Share,Data Engineer,
,Mindcolor Autism,Lead Board Certified Behavior Analyst (BCBA),
,SPECTRUM,Network Operations Analyst II - Inventory Management,
,SPECTRUM,Systems Engineer II - Application Analyst,
"Lakewood, CO",MIRACORP,Business Data Analyst (Entry Level),
"Denver, CO","Edison Software, Inc.",Data Analyst,
"Lakewood, CO",Indian Health Service,GEOGRAPHIC INFORMATION SYSTEM ANALYST,"$47,421 - $91,234 a year"
"Denver, CO 80202 (Lodo area)",FJA-US Inc.,Data Analyst,
"Denver, CO",Indian Health Service,"Associate Education Research Scientist/Analyst, AD-1730-00","$72,000 - $101,000 a year"
"Centennial, CO 80112",Comcast,"Data Analyst, CX Data & Analytics - Centennial, CO",
"Denver, CO 80206 (Cherry Creek area)",Brilliant Earth,"Business Analyst, Denver",
"Lakewood, CO",US Department of the Interior,GEOGRAPHIC INFORMATION SYSTEM ANALYST,"$47,421 - $91,234 a year"
"Denver, CO 80203 (North Capitol Hill area)",State of Colorado Job Opportunities,Healthcare-Associated Infections Surveillance Data Analyst - 2452,"$58,764 - $86,004 a year"
"Denver, CO 80206 (Cherry Creek area)",Brilliant Earth,"Analyst, Merchandising & Inventory Planning",
,SPECTRUM,Senior Data Scientist,
,A-1 Careers,GIS Analyst,
,Millennium Hotels & Resorts,Financial Analyst,"$60,000 - $70,000 a year"
,USAA,Deposits Product Management Analyst - Mid Level,
,National Geospatial-Intelligence Agency,Source Strategies Analyst,"$100,027 - $153,659 a year"
,USAA,Learning and Development Evaluation Analyst II,
,USAA,Decision Science Analyst II,
"Denver, CO 80206 (Cherry Creek area)",Brilliant Earth,"Financial Planning & Analysis Analyst, Denver",
"Denver, CO 80202 (Union Station area)",Autodesk,Inside Sales Data Analyst,
"Denver, CO",Indian Health Service,"Education Research Scientist/Analyst, AD-1730-00","$102,000 - $140,000 a year"
"Colorado Springs, CO 80920 (Briargate area)",WOW!,Data Analyst,
"Denver, CO 80216 (Five Points area)",CirrusMD,Data Analyst,
"Denver, CO",Course5 Intelligence,Data Engineering and Data Science Resource,
"Englewood, CO 80112",BOEING,Systems & Data Analyst,
"Broomfield, CO",Danone,"Customer Collaboration, Data Scientist",
"Denver, CO",xentity corporation,Data Analyst,
"Englewood, CO 80112",LOCKHEED MARTIN CORPORATION,Procurement Data Analyst,
"Aurora, CO",Kaiser Permanente,"Data Analytics, Senior Analyst",
"Denver, CO 80202 (Union Station area)",DISH,Systems Business Analyst,
"Denver, CO",Wakely Consulting Group LLC,Healthcare Data Analyst,
"Lafayette, CO",Planterra Foods,SALES ANALYST,
"Greenwood Village, CO 80111",Century Communities,IT Data Analyst,
"Boulder, CO 80302 (Mapleton Hill area)",Gloo,Marketing Data Analyst,
"Lakewood, CO",US Department of the Interior,PROGRAM ANALYST,"$70,181 - $109,358 a year"
"Denver, CO 80204 (Civic Center area)",US Department of Education,"Associate Education Research Scientist/Analyst, AD-1730-00","$72,000 - $101,000 a year"
"Denver, CO 80202 (Central Business District area)",Ibotta,Senior Data Quality Analyst,
"Lakewood, CO",US Department of the Interior,MANAGEMENT AND PROGRAM ANALYST,"$100,027 - $130,039 a year"
"Denver, CO 80202 (Lodo area)",FJA-US Inc.,"Business Analyst, Healthcare",
"Greenwood Village, CO",ClientSolv Technologies,ColdFusion Development Data Analyst -Remote,
"Denver, CO",Stantec,"Business Analyst, Oracle HR/HCM",
"Greenwood Village, CO",ClientSolv Technologies,Remote ColdFusion Development Data Analyst,
"Denver, CO",Disys,BIDW Business Analyst,$60 - $65 an hour
"Boulder, CO 80301 (East Central area)",PopSockets,Business Intelligence Analyst,
"Colorado Springs, CO 80917 (East Colorado Springs area)",Peak Vista Community Health Centers,Data Analyst II,
"Westminster, CO",Aegis Premier Solutions,Conversion Data Analyst,
"Longmont, CO 80501 (Pike area)",PharMerica,COLLECTIONS ANALYST,
"Denver, CO 80206 (Congress Park area)",National Jewish Health,Bioinformatics Analyst I,
"Denver, CO 80204 (Civic Center area)",US Department of Education,"Education Research Scientist/Analyst, AD-1730-00","$102,000 - $140,000 a year"
"Colorado Springs, CO 80920 (Briargate area)",WOW!,Scheduling/Forecasting Analyst,
"Louisville, CO 80027",GHX,Sr Data Analyst,
"Lakewood, CO",US Department of the Interior,SENIOR MANAGEMENT AND PROGRAM ANALYST,"$118,202 - $153,659 a year"
"Denver, CO",Franklin Energy,Inside Sales Analyst,
"Broomfield, CO 80020",Vail Resorts,HR Technology Business Analyst,
"Aurora, CO 80011 (Centretech area)","Attain, LLC",Business Analyst/Tester,
"Denver, CO 80202 (Union Station area)",DaVita,Business Analyst - Compensation,
"Denver, CO 80211 (Highland area)","Teliax, Inc.",Business Analyst II,
"Denver, CO 80202 (Union Station area)","IMA Financial Group, Inc.",Account Analyst (Employee Benefits),
"Glendale, CO",Computershare,UAT Analyst,
"Denver, CO 80230 (Lowry Field area)",Innovage,Real Estate Analyst,
"Denver, CO 80225",Sanborn Map Company,Geospatial Data Management Specialist,"$65,000 - $110,000 a year"
"Boulder, CO",Splunk,Analyst - Global Partner Programs,
"Denver, CO 80202 (Union Station area)",AirDNA,Data Scientist,
"Longmont, CO",Maxar Technologies,Collection Planning Analyst,
"Denver, CO 80237 (Hampden South area)",PHOENIX,TRID/Compliance/Post-Close Due Diligence Analyst,
"Denver, CO 80246 (Southeastern Denver area)","Behavior Change Institute, LLC.",Board Certified Behavior Analyst (BCBA) Clinician (TeleHealth),
"Denver, CO 80221 (Regis area)",Regis University,Business Intelligence Analytics Developer,"$53,000 - $58,000 a year"
"Englewood, CO",Ipreo,"Analyst, Payroll Americas",
"Greenwood Village, CO 80111",Tri-County Health Department,"EPI & Data Science Professional, COVID-19 Response",
"Buckley AFB, CO",US Department of Defense,Source Strategies Analyst,"$100,027 - $153,659 a year"
"Denver, CO",Cardinal Group Companies,Sr. Financial Planning and Analysis Analyst,
"Denver, CO",American AgCredit,Portfolio Monitoring Analyst,
"Louisville, CO 80027",Path2Response LLC,Data Acquisition Specialist,
"Denver, CO",Paladina Health / Activate Healthcare,Sales Support Analyst,
"Lakewood, CO",Black Knight Financial Services,Financial Data Analyst,
"Colorado Springs, CO 80919 (Northwest Colorado Springs area)",Ent Credit Union,Financial Analyst I or II,"From $57,512 a year"
"Denver, CO",University of Colorado Denver I Anschutz,BI Analyst/Developer,"$80,000 - $84,500 a year"
"Boulder, CO",Viola AI,Data Scientist,
,"Public Trust Advisors, LLC",Credit Research Analyst,
,McLane Global,Data Analyst,"$65,000 - $85,000 a year"
,CTG,Sr. Business Analyst,$55.00 - $62.50 an hour
"Houston, TX",Microsolutiontek,Entry Level Business Analyst,"$60,000 - $70,000 a year"
"College Station, TX 77840",Reynolds and Reynolds,Business Analyst,
"Houston, TX 77040 (Fairbanks - Northwest Crossing area)",Reynolds and Reynolds,Data Analyst,
"Houston, TX 77040",Premier Medical Resources,Accounts Receivable Analyst (Data Entry),
"College Station, TX 77840",Texas A&M University,IT Business Analyst I,"$42,511 - $49,712 a year"
"Houston, TX 77002 (Downtown area)",Harris County,"Data Analyst, Reporting",
"Houston, TX 77002 (Downtown area)",FIS Global,Data Analyst II,
"Houston, TX",Entera,Product and Data Analyst,
"Houston, TX",HOLE Group,Data Analyst,
"Houston, TX",132 ENG Inc.,Data Analyst,
,First Service Credit Union,Credit Analyst,
,Immatics US,Quality Control Analyst,
,"Commercial Beverage Concepts, LLC",Warehouse Financial Analyst,"$110,000 - $120,000 a year"
,Cordialsa USA,Jr. Trade Marketing Analyst,
,"Biourja Power, LLC","Power Analyst - Houston, TX",
,Ford & Sweeney Support Services,Risk Coordinator/Analyst Intermediate,$25 - $35 an hour
"Houston, TX",GTS Geotech,Seismic Data Analyst,
"Houston, TX 77032",GeoDigital,"Data Analyst (LiDar, Ortho/Imagery)",
"Sugar Land, TX",PrimeFlight Aviation,HRIS Analyst,"$75,000 - $80,000 a year"
"Houston, TX",Houston Exponential,Data Analyst,
"Houston, TX 77098 (Greenway - Upper Kirby Area area)",The Potts Law Firm,Financial Analyst,
"Houston, TX 77077 (Eldridge - West Oaks area)",Shellpoint Mortgage Servicing,Escrow Data Analyst I,
"Houston, TX 77002 (Downtown area)",CenterPoint Energy,Associate Forecasting Analyst,
"Houston, TX",Huntsman,Supply Chain Analyst,
"Houston, TX",Rainbow Ceramics,Business Analyst,
"Houston, TX 77002 (Downtown area)",TC Energy,Business Analyst,
,Energy Transfer Family of Partnerships,Lead Specialist - IT Technical Business Analyst - NGL Commercial Applications,
,Confidential,Inventory Cost Analyst,$20 - $25 an hour
"Houston, TX",BNY Mellon,"Analyst, Data Mgmt / Quant Analysis",
"Houston, TX 77002 (Downtown area)",Harris County,Senior Data Analyst,
"Houston, TX","Two Sigma Investments, LLC.",Data Analyst,
"Houston, TX 77042 (Westchase area)",Servient Inc,eDiscovery Data Analyst,
"Houston, TX 77054 (South Main area)",Altus ACE,IT Business Analyst,"$65,000 - $80,000 a year"
"Houston, TX 77046 (Montrose area)",Sunnova Energy Corp,Solar Performance Analyst,
"Houston, TX",cPanel,Data Analyst,
"Houston, TX 77027 (Greenway - Upper Kirby Area area)",Houston-Galveston Area Council,Data Analyst,
"Houston, TX",Radiology Partners,Business Analyst - IT Data Warehouse,
"Anahuac, TX 77514",Chambers County Public Hospital District No. 1,Healthcare Business Analyst,"$60,000 - $70,000 a year"
"Houston, TX",CSL,Product Analyst I - Temporary,
"Houston, TX 77007 (Rice Military area)",Service Corporation International,Business Analyst,
"Houston, TX",National Oilwell Varco,Data Scientist,
"Houston, TX",Phillips 66,"Analyst, Reporting & Position Control",
"Friendswood, TX",Texas Gulf Bank,Process Analyst,
"Houston, TX 77036 (Sharpstown area)","AAXY, LLC. dba Austin First Mortgage",Market Research Analyst,
"Houston, TX 77001",Cognizant Technology Solutions,Informatica Data Quality Lead – Full-Time,
"The Woodlands, TX",Talen Energy,Trade Control Analyst,
"Houston, TX","City of Houston, TX",SENIOR STAFF ANALYST,"$88,500 - $104,000 a year"
"Houston, TX 77002 (Downtown area)",Virtus Partners,Data Analyst I,
"Huntsville, TX 77340",Sam Houston State University,Lecturer of Business Analysis,
"Houston, TX",CBRE,"Business Analyst, Systems",
"Houston, TX 77001",Thermo Fisher Scientific,Sales Analyst,
"Richmond, TX 77469",Fort Bend County,I.T. Project / Business Analyst - Information Technology,
"Houston, TX 77070",Purity Technology LLC,Data Warehouse Analyst,
"Houston, TX 77054 (Astrodome Area area)",Harris Health System,Lead Quality Data Analyst,
"Pearland, TX 77584",Kelsey-Seybold,Data Analyst & Healthcare Analytics,
"Houston, TX 77002 (Downtown area)",DXC,Professional Business Analyst,
"Houston, TX",Innovalus Technologies Inc,business analyst,
"Houston, TX 77075 (South Belt - Ellington area)",McKinsey & Company,Solution Gas Analyst,
"Houston, TX 77056 (Galleria-Uptown area)",Fiesta Mart | Fiesta Mart LLC,Space Analyst,
"Houston, TX 77077 (Eldridge - West Oaks area)","Biourja Power, LLC","Power Analyst - Houston, TX",
"Houston, TX",The University of Texas Health Science Center at H...,Benefits Analyst,
"Missouri City, TX 77459",Texas ABA Therapy,Childcare Provider - Autism Program,$12 - $15 an hour
"Houston, TX",Quorum Business Solutions,Product Analyst - Midstream & Gas Marketing Software,
,Cornerstone Preferred Resources,Medical Claims Analyst,$19 - $24 an hour
"Houston, TX 77030 (Medical Center Area area)",Baylor College of Medicine,Financial Analyst II,
"Houston, TX",David Weekley Homes,Land Analyst,
"Houston, TX","Metropolitan Transit Authority of Houston, Texas",Market Research Analyst,"$73,851 - $92,998 a year"
"Houston, TX",Army Houston Recruiting Battalion,Data Collector/Analyst (Entry Level),
"Houston, TX",Medline Industries Inc,Prime Vendor Analyst,
"Houston, TX 77010 (Downtown area)",TD Bank,Houston - Investment Banking Analyst,
