location,company,title,salary
,Hirsch Law Group,Court Records Researcher/Data Miner - (Chicago),$15 an hour
,Society for Vascular Surgery,Statistician (part-time),
,i-Pharm Consulting,"Sr. Statistical Programmer - (100% REMOTE) - Excellent Pay, Benefits, PTO!","$115,000 - $140,000 a year"
"Chicago, IL",Cloudbigdata Technologies,Entry level Data Scientist,
"Chicago, IL 60606 (The Loop area)",Saggezza,Data Scientist,
"Chicago, IL 60654 (River North area)",Fetch Rewards,"Data Scientist, Intern",
"Chicago, IL",kraken,Data Scientist (Remote),
"Chicago, IL","Hornblower Cruises and Events, LLC",Data Scientist - Cruises & Events,
"Chicago, IL 60654 (Loop area)",Thrivent Financial,Data Scientist (remote),
"Chicago, IL",Thrivent,Data Scientist (remote),
"Chicago, IL 60601 (The Loop area)",Hale Testing Solutions,Machine Learning/Data Scientist,"$87,829 - $122,372 a year"
"Chicago, IL",Waystar,Data Scientist,
"Chicago, IL",Goodway Group,Data Scientist,
"Chicago, IL",Photon,"Data Scientist | Chicago, IL",
"Chicago, IL",Capax Global LLC,Data Scientist,
"Chicago, IL 60606 (The Loop area)",MessageControl,Data Scientist,
"Chicago, IL",Big Bright International,DATA SCIENTIST,
"Lemont, IL 60439",Argonne National Laboratory,Data Scientist - Life Sciences,
"Chicago, IL 60611 (Near North Side area)",Strong Analytics,Data Scientist,
"Chicago, IL 60661 (Near West Side area)","Mastery Logistics Systems, Inc.",Senior Data Scientist,
"Chicago, IL",devwrx,Data Scientist,
"Chicago, IL 60604 (The Loop area)",Army Enterprise Marketing Office,Data Analyst or Scientist,
"Schaumburg, IL 60173",INX International Ink Co.,Data Scientist,
,Medical Home Network,Senior Healthcare Data Analyst,
"Chicago, IL 60607 (Near West Side area)",STATS PERFORM,Data Scientist/AI Scientist,
"Chicago, IL",Wavicle Data Solutions,Data Scientist,
"Chicago, IL 60637 (Woodlawn area)",The University of Chicago,Computational Scientist-Secure Data,
"Northbrook, IL 60062",Underwriters Laboratories Inc.,Data Scientist,
"Chicago, IL","Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,
