Asking Price,Street,City,State
"$149,000",24071 Chicago St, Dearborn, MI 48124
"$179,000",2624 Academy St, Dearborn, MI 48124
"$199,900",6118 Neckel St, Dearborn, MI 48126
"$199,700",2005 Edgewood St, Dearborn, MI 48124
"$119,900",2144 Homeplace St, Dearborn, MI 48124
"$149,900",3023 Geneva St, Dearborn, MI 48124
"$79,900",5523 Hartwell St, Dearborn, MI 48126
"$149,900",648 Mayburn St, Dearborn, MI 48128
"$289,900",6420 Argyle St, Dearborn, MI 48126
"$144,900",22240 Tenny St, Dearborn, MI 48124
"$139,900",5915 Steadman St, Dearborn, MI 48126
"$279,000",7518 Williamson St, Dearborn, MI 48126
"$129,900",22905 Sheridan St, Dearborn, MI 48128
"$141,900",5460 Mead St, Dearborn, MI 48126
"$160,000",3804 Mckinley St, Dearborn, MI 48124
"$107,500",24061 Calvin St, Dearborn, MI 48124
"$104,900",21800 Morley Ave APT 919, Dearborn, MI 48124
"$159,900",18503 Audette St, Dearborn, MI 48124
"$20,000",30 Morross Cir, Dearborn, MI 48126
"$144,900",5226 Argyle St, Dearborn, MI 48126
"$199,900",6456 Yinger Ave, Dearborn, MI 48126
"$69,900",1439 S Telegraph Rd, Dearborn, MI 48124
"$279,999",23900 Fordson Dr, Dearborn, MI 48124
"$189,900",429 Robindale Ave, Dearborn, MI 48128
"$169,000",4650 Curtis St, Dearborn, MI 48126
"$199,900",6134 Neckel St, Dearborn, MI 48126
"$22,900",3246 Harding St, Dearborn, MI 48124
"$140,000",3147 Culver Ave, Dearborn, MI 48124
"$279,900",22218 Abbey Ln, Dearborn, MI 48124
"$239,900",22334 Beech St, Dearborn, MI 48124
"$122,000",24638 Calvin St, Dearborn, MI 48124
"$209,800",101 S York St, Dearborn, MI 48124
"$129,900",10 Carlton Ln, Dearborn, MI 48120
"$159,900",2433 Grindley Park St, Dearborn, MI 48124
"$129,900",6 Carlton Ln, Dearborn, MI 48120
"$339,000",15852 Longmeadow St, Dearborn, MI 48120
"$289,000",445 S Waverly St, Dearborn, MI 48124
"$180,000",828 N York St, Dearborn, MI 48128
"$115,000",22925 Cleveland St, Dearborn, MI 48124
"$179,700",702 S Brady Rd, Dearborn, MI 48124
