Asking Price,Street,City,State
"$99,900",13209 Klinger St, Detroit, MI 48212
"$119,900",20192 San Juan Dr, Detroit, MI 48221
"$64,000",16235 Snowden St, Detroit, MI 48235
"$135,900",17609 Woodingham Dr, Detroit, MI 48221
"$99,000",20830 Joy Rd, Detroit, MI 48228
"$70,000",15695 Edmore Dr, Detroit, MI 48205
"$120,000",5901 Hillcrest St, Grosse Pointe, MI 48236
"$55,000",15810 Griggs St, Detroit, MI 48238
"$39,900",19129 Gruebner St, Detroit, MI 48234
"$69,900",4059 Trenton St, Detroit, MI 48210
"$25,000",18040 Fenelon St, Detroit, MI 48234
"$25,000",10284 Delmar St, Detroit, MI 48211
"$25,000",8083 Bryden St, Detroit, MI 48204
"$25,000",8080 Bryden St, Detroit, MI 48204
"$25,000",8075 Bryden St, Detroit, MI 48204
"$25,000",8060 Bryden St, Detroit, MI 48204
"$25,000",18599 Russell St, Detroit, MI 48203
"$159,900",17326 Santa Rosa Dr, Detroit, MI 48221
"$25,000",8904 Vaughan St, Detroit, MI 48228
"$25,000",18859 Orleans St, Detroit, MI 48203
"$269,000",8200 E Jefferson Ave APT 609, Detroit, MI 48214
"$25,000",10123 Maplelawn St, Detroit, MI 48204
"$25,000",12343 Lansdowne St, Detroit, MI 48224
"$25,000",191 E Grixdale Ave, Detroit, MI 48203
"$25,000",90 E Greendale St, Highland Park, MI 48203
"$15,000",427 Marston St, Detroit, MI 48202
"$25,000",9354 Bessemore St, Detroit, MI 48213
"$69,000",15779 Murray Hill St, Detroit, MI 48227
"$169,000",4866 Grayton St, Detroit, MI 48224
"$1,000",3330 Greyfriars St, Detroit, MI 48217
"$1,000",12876 Hubbell St, Detroit, MI 48227
"$1,000",9401 Ravenswood St, Detroit, MI 48204
"$1,000",18011 Gilchrist St, Detroit, MI 48235
"$100,000",18451-18453 Lesure St, Detroit, MI 48235
"$248,000",5766 Trumbull St APT 211, Detroit, MI 48208
"$223,900+",Ontario Plan, Great Lakes Tower,
"$85,000",8347 Hubbell St, Detroit, MI 48228
"$29,900",19360 Murray Hill St, Detroit, MI 48235
"$210,000",5766 Trumbull St APT 106, Detroit, MI 48208
"$19,900",16595 Lilac St, Detroit, MI 48221
