Asking Price,Street,City,State
"$109,900",2919 Risley Dr, Lansing, MI 48917
"$132,500",1804 W Michigan Ave, Lansing, MI
"$54,900",4927 Christiansen Rd, Lansing, MI 48910
"$270,000",1412 Eastbury Dr, Lansing, MI 48917
"$93,500",1012 E Hazel St, Lansing, MI 48912
"$69,000",1023 Bement St, Lansing, MI 48912
"$140,000",3941 Truxton Ln, Lansing, MI 48911
"Est. $125,284",622 Carey St, Lansing, MI 48915
"$129,000",4214 Glenburne Blvd, Lansing, MI 48911
"$89,500",3333 Moores River Dr APT 506, Lansing, MI 48911
"$57,900",2309 Fielding Dr, Lansing, MI 48911
"$45,000",2229 Turner St, Lansing, MI 48906
"$109,900",800 Loa St, Lansing, MI 48910
"$139,000",4303 Glenburne Blvd, Lansing, MI
"$179,900",322 S Jenison Ave, Lansing, MI 48915
"$236,900",1504 Bentbrook Cir, Lansing, MI 48917
"$88,000",617 N Clemens Ave, Lansing, MI 48912
"$92,900",1501 Illinois Ave, Lansing, MI 48906
"$139,000",4137 Thackin Dr, Lansing, MI 48911
"$234,900",1615 S Canal Rd, Lansing, MI 48917
"$64,900",4811 Hughes Rd, Lansing, MI 48910
"$184,500",2516 Springdale Dr, Lansing, MI 48906
"$52,890+",Stonegate Plan, Stonegate,
"$174,900",626 W Howe Ave, Lansing, MI 48906
"$95,900",919 Raider St, Lansing, MI 48912
"$384,500",8358 Yellowstone Ln, Lansing, MI 48917
"$139,900",2324 Tecumseh River Rd, Lansing, MI 48906
"Est. $109,986",4717 Donald St, Lansing, MI 48910
"$129,000",1610 Beal Ave, Lansing, MI 48910
"$79,900",4603 Pleasant Grove Rd, Lansing, MI 48910
"$52,962+",Stonegate Plan, Stonegate,
"$53,010+",Stonegate Plan, Stonegate,
"$52,890",2700 Eaton Rapids Rd LOT 82, Lansing, MI
"$53,010",2700 Eaton Rapids Rd LOT 7, Lansing, MI
"$52,962",2700 Eaton Rapids Rd LOT 104, Lansing, MI
"$115,000",534 W Rouse St, Lansing, MI 48910
"$59,528+",Stonegate Plan, Stonegate,
"$112,500",121 E Claremore Dr, Lansing, MI 48911
"$89,900",2605 W Kalamazoo St, Lansing, MI 48917
"$134,900",5921 Woodgate Dr, Lansing, MI 48911
