Asking Price,Street,City,State
"$949,000",6299 Rocky Point Ct, Oakland, CA 94605
"$678,900",3229 Delaware St, Oakland, CA 94602
"$650,000",423 7th St UNIT 203, Oakland, CA 94607
"$1,495,000",6699 Exeter Dr, Oakland, CA 94611
"$795,000",3101 35th Ave, Oakland, CA 94619
"$679,000",106 Zephyr Dr, Oakland, CA 94607
$--,3000 56th Ave, Oakland, CA 94605
"$870,000",6608 Outlook Ave, Oakland, CA 94605
"$580,000",1253 107th Ave, Oakland, CA 94603
"$1,250,000",4355 Everett Ave, Oakland, CA 94602
"$668,000",1054 63rd St, Oakland, CA 94608
"$575,000+",1 bed 1.5 bath Plan, 901 Jefferson,
"$845,000",983 56th St, Oakland, CA 94608
"$775,000",2489 Cordova St, Oakland, CA 94602
"$675,888",2738 Parker Ave, Oakland, CA 94605
"$1,550,000",3210 Harrison St, Oakland, CA 94611
"$1,188,000",2215 7th Ave, Oakland, CA 94606
"$799,000",3245 Magnolia St, Oakland, CA 94608
"$799,000",4224 West St, Oakland, CA 94608
"$739,990",3407 Harper St, Oakland, CA 94601
"$599,000",5827 Eastlawn St, Oakland, CA 94621
"$789,000",1424 Pullman Way, Oakland, CA 94607
"$1,395,000",395 63rd St, Oakland, CA 94618
"$1,495,000",814 Mandana Blvd, Oakland, CA 94610
"$769,000",5131 Mcdonell Ave, Oakland, CA 94619
"$620,000",2516 68th Ave, Oakland, CA 94605
"$449,900",466 Crescent St APT 303, Oakland, CA 94610
"$820,000",2760 Best Ave, Oakland, CA 94619
"$590,000",901 Jefferson St APT 102, Oakland, CA 94607
"$1,195,000",6738 Aitken Dr, Oakland, CA 94611
"$460,000",2633 78th Ave, Oakland, CA 94605
"$675,000",3906 Nevil St, Oakland, CA 94601
"$625,000",1511 Jefferson St UNIT 101, Oakland, CA 94612
"$1,750,000",14075 Skyline Blvd, Oakland, CA 94619
"$499,000",320 Caldecott Ln UNIT 313, Oakland, CA 94618
"$405,000",2259 Courtland Ave, Oakland, CA 94601
"$499,000",7460 Lockwood St, Oakland, CA 94621
"$699,000",3675 Lily St, Oakland, CA 94619
"$625,000",14 Anair Way, Oakland, CA 94605
"$699,000",47 Excelsior Ct #47, Oakland, CA 94610
