Asking Price,Street,City,State
"$264,600",9967 Triple Crown Cir, Orlando, FL 32825
"$481,000",521 W Princeton St, Orlando, FL
"$290,000",3918 Benson Park Blvd, Orlando, FL 32829
"$298,000",815 Driver Ave, Winter Park, FL 32789
"$295,000",14620 Chloe Ct, Orlando, FL 32826
"$249,900",2703 E Church St, Orlando, FL 32803
"$124,900",3154 S Semoran Blvd APT 806, Orlando, FL 32822
"$468,000",4065 Minoso St, Orlando, FL 32811
"$160,000",204 E South St UNIT 4062, Orlando, FL 32801
"$282,000",12804 Gettysburg Cir, Orlando, FL 32837
"$329,000",5950 Goldenwood Dr, Orlando, FL 32817
"$549,900",8648 Warwick Shore Xing, Orlando, FL 32829
"$119,900+",The Fairways Country Club 55+ Community New Home Plan, The Fairways Country Club 55+ Community,
"$359,990",4912 Blackburn Ct, Orlando, FL 32826
"$300,990+",Montara Plan, Storey Park   The Hemingway Townhomes,
"$274,900",1200 Cole Rd, Orlando, FL 32803
"$399,900",4520 Hidden Oak Ct, Orlando, FL 32804
"$224,900",13301 Summerton Dr, Orlando, FL 32824
"$298,000",14512 Grand Cove Dr, Orlando, FL 32837
"$550,000",2427 Teton Stone Run, Orlando, FL 32828
"$975,000",2445 Stoneview Rd, Orlando, FL 32806
"$139,900",11814 Meadow Branch Dr APT 1213, Orlando, FL 32825
"$425,000",734 Bella Vida Blvd, Orlando, FL 32828
"$258,990+",Banyan Plan, Sawgrass Townhomes,
"$290,000",5113 Mystic Point Ct, Orlando, FL 32812
"$205,000",11558 Thurston Way, Orlando, FL 32837
"$227,000",5611 Long Lake Hills Blvd, Orlando, FL 32810
"$220,000",989 Vista Palma Way, Orlando, FL 32825
"$395,000",3217 Raven Rd, Orlando, FL 32803
"$279,000",9950 Eagle Creek Center Blvd, Orlando, FL 32832
"$450,000",338 Bunker Pl, Orlando, FL 32804
"$515,000",1611 New York Ave, Orlando, FL 32803
"$199,900",12537 Wisconsin Woods Ln, Orlando, FL 32824
$--,Coming Soon Plan, Laureate Park Townhomes,
"$225,000",13130 Odyssey Lake Way, Orlando, FL 32826
"$150,000",4540 Commander Dr APT 2238, Orlando, FL 32822
"$499,000",1713 Cheltenborough Dr, Orlando, FL 32835
"$159,900",6530 Swissco Dr UNIT 1112, Orlando, FL 32822
"$414,990+",Talbot Plan, Laureate Park,
"$179,800",6530 Swissco Dr APT 1122, Orlando, FL 32822
