Asking Price,Street,City,State
"$1,250,000",16331 NE 46th St, Redmond, WA 98052
"$725,000",27818 NE 49th St, Redmond, WA 98053
"$1,195,000",21421 NE 79th St, Redmond, WA 98053
"$519,950",4214 W Lake Sammamish Pkwy NE APT 102, Redmond, WA 98052
"$1,098,000",10841 168th Ct NE, Redmond, WA 98052
"$510,000",24377 NE 101st Ct, Redmond, WA 98053
"$998,000",14127 NE 63rd Ct, Redmond, WA 98052
"$749,950",2628 175th Ave NE, Redmond, WA 98052
"$750,000",17498 NE 40th Pl #I-1, Redmond, WA 98052
"$1,150,000",13823 Morgan Dr NE, Redmond, WA 98053
"$1,785,000",11999 159th Ave NE, Redmond, WA
"$375,000",8063 170th Pl NE #B2, Redmond, WA 98052
"$840,000",13952 Morgan Dr NE, Redmond, WA 98053
"$399,500",23951 NE 115th Ln #201, Redmond, WA 98053
"$725,000",18397 NE 97th Ct, Redmond, WA 98052
"$1,450,000",17251 NE 36th St, Redmond, WA 98052
"$1,288,000",3427 180th Ave NE, Redmond, WA 98052
"$389,950",23948 NE 115th Ln #303, Redmond, WA 98053
"$1,350,000",23733 NE 108th Pl, Redmond, WA 98053
"$385,000",8110 145th Ct NE #A-6, Redmond, WA 98052
"$430,000",8808 Redmond Woodinville Rd NE #301, Redmond, WA 98052
"$803,000",15709 NE 110th St, Redmond, WA 98052
"$998,950",15513 NE 54th Pl, Redmond, WA 98052
"$1,720,000",13348 NE 80th St, Redmond, WA
"$874,990+",Residence V Plan, 66 Degrees,
"$2,999,990",6692 264th Ave NE, Redmond, WA
"$900,000",14804 NE 70th Ct, Redmond, WA 98052
"$375,000",7573 Old Redmond Rd APT 10, Redmond, WA 98052
"$287,500",3543 278th Pl NE, Redmond, WA 98053
"$1,385,000",3818-3826 172nd Ave NE, Redmond, WA 98052
"$1,750,000",5707 238th Pl NE, Redmond, WA 98053
"$939,950",20812 NE 89th St, Redmond, WA 98053
"$585,000",16010 NE 40th Ct #6D, Redmond, WA 98052
"$790,000",2222 152nd Ave NE, Redmond, WA 98052
"$1,695,000",9315 218th Ave NE, Redmond, WA 98053
"$1,425,000",11746 175th Pl NE, Redmond, WA 98052
"$3,495,000",6417 204th Dr NE, Redmond, WA 98053
"$1,475,000",17015 NE 136th Pl, Redmond, WA 98052
"$350,000",14618 NE 81st St, Redmond, WA 98052
"$1,485,000",4012 164th Ct NE, Redmond, WA 98052
