Asking Price,Street,City,State
"$349,900",2830 W Barry Ave, Chicago, IL 60618
"$424,995",3868 N Milwaukee Ct, Chicago, IL 60641
"$49,900",7128 S Seeley Ave, Chicago, IL 60636
"$119,000",6833 N Kedzie Ave APT 1405, Chicago, IL 60645
"$275,000",5 N Wabash Ave APT 1504, Chicago, IL 60602
"$515,000",405 N Wabash Ave UNIT 4410, Chicago, IL 60611
"$359,999",3518 N Rutherford Ave, Chicago, IL 60634
"$435,000",7358 W Rascher Ave, Chicago, IL 60656
"$157,000",4314 W 14th St, Chicago, IL 60623
"$265,000",210 S Desplaines St APT 1806, Chicago, IL 60661
"$485,000",2323 S Seeley Ave, Chicago, IL 60608
"$599,000",3310 N Damen Ave #1, Chicago, IL 60618
"$550,000",1239 N Maplewood Ave #1, Chicago, IL 60622
"$179,800",4753 N Magnolia Ave #1, Chicago, IL 60640
"$469,900",2715 N Lawndale Ave, Chicago, IL 60647
"$35,000",8725 S Emerald Ave, Chicago, IL 60620
"$489,000",1344 N Monticello Ave, Chicago, IL 60651
"$450,000",6101 N Sheridan Rd E #31B, Chicago, IL 60660
"$235,000",3012 E 81st St, Chicago, IL 60617
"$209,000",3785 W Columbus Ave UNIT 2, Chicago, IL 60652
"$219,999",5300 N Kedzie Ave APT 1, Chicago, IL 60625
"$525,000",2858 N Milwaukee Ave #1, Chicago, IL 60618
"Est. $60,539",8274 S Anthony Ave, Chicago, IL 60617
"$309,000",195 N Harbor Dr APT 4907, Chicago, IL 60601
"$4,500",7709 S Green St, Chicago, IL 60620
"$122,500",(undisclosed Address), Chicago, IL 60643
"$899,000",1931 N Central Park Ave, Chicago, IL 60647
"$368,800",3339 W Irving Park Rd UNIT 5W, Chicago, IL 60618
"$899,000",2838 W Eastwood Ave, Chicago, IL 60625
"$455,000",912 W Chicago Ave #204, Chicago, IL 60642
"$69,900",5921 S Morgan St, Chicago, IL 60621
"$549,900",5230 S Cornell Ave APT E, Chicago, IL 60615
"$299,000",6946 W 64th Pl, Chicago, IL 60638
"$505,900",2335 W Chicago Ave #2R, Chicago, IL 60622
"$425,000",4016 N California Ave #3, Chicago, IL 60618
"$649,000",3850 N Lowell Ave, Chicago, IL 60641
"$114,900",6634 S Oakley Ave, Chicago, IL 60636
"$129,000",6745 S Campbell Ave, Chicago, IL 60629
"$310,000",5908 W Warwick Ave, Chicago, IL 60634
"$399,900",40 E Delaware Pl APT 1603, Chicago, IL 60611
