Asking Price,Street,City,State,Zip
349900.00,2537 Paul Ave NW, Atlanta,GA,30318
199000.00,1391 Audubon Ct SW LOT 8, Atlanta,GA,30311
734500.00,495 Harold Ave NE, Atlanta,GA,30307
174000.00,541 Springside Dr SE, Atlanta,GA,30354
162500.00,1429 Hawkins St NW, Atlanta,GA,30314
399900.00,2012 Shirley St SW, Atlanta,GA,30311
274500.00,3445 Stratford Rd NE APT 1805, Atlanta,GA,30326
175000.00,2855 Peachtree Rd NE APT 213, Atlanta,GA,30305
586900.00,1976 Westside Blvd, Atlanta,GA,
1350000.00,471 Pine Tree Dr NE, Atlanta,GA,30305
265000.00,1735 Peachtree St NE UNIT 404, Atlanta,GA,30309
170000.00,3655 Habersham Rd NE APT B347, Atlanta,GA,30305
300000.00,1053 Astor Ave SW, Atlanta,GA,30310
215000.00,284 Morris Brown Ave NW, Atlanta,GA,30314
175000.00,183 Amherst Pl NW, Atlanta,GA,30327
758000.00,1051 Monroe Dr NE, Atlanta,GA,30306
325000.00,1735 Peachtree St NE UNIT 224, Atlanta,GA,30309
274900.00,635 Myrtle St NE APT 11, Atlanta,GA,30308
1375000.00,3799 Northside Dr NW, Atlanta,GA,30305
695000.00,603 Howard St, Atlanta,GA,30317
129900.00,78 Delmoor Dr NW, Atlanta,GA,30311
289900.00,44 Peachtree Pl NW UNIT 528, Atlanta,GA,30309
300000.00,1830 Flat Shoals Rd SE, Atlanta,GA,30316
252500.00,23108 Plantation Dr #108, Atlanta,GA,30324
1895000.00,727 Courtenay Dr NE, Atlanta,GA,
132000.00,32 Peachtree St NW APT 401, Atlanta,GA,30303
479900.00,3324 Peachtree Rd NE UNIT 2805, Atlanta,GA,30326
675000.00,3033 Stone Gate Dr NE, Atlanta,GA,30324
310000.00,860 Peachtree St NE UNIT 2707, Atlanta,GA,30308
1895000.00,1026 Robin Ln NE, Atlanta,GA,30306
249000.00,955 Juniper St NE, Atlanta,GA,30309
238900.00,6524 Mountain Home Way, Mableton,GA,
226900.00,6528 Mountain Home Way, Mableton,GA,
238900.00,6548 Mountain Home Way, Mableton,GA,
178900.00,2700 Pine Tree Rd NE UNIT 2216, Atlanta,GA,30324
1450000.00,1363 Peachtree Battle Ave NW, Atlanta,GA,30327
574900.00,836 Canterbury Overlook, Atlanta,GA,30324
1150000.00,4633 Far West Blvd APT 3, Austin,TX,78731
350000.00,87 Navasota St, Austin,TX,78702
299999.00,1100 Hatteras Dr, Austin,TX,78753
1010630.00,16312 Donoher Dr, Austin,TX,
580000.00,2705 White Horse Trl, Austin,TX,78757
369000.00,8410 Spring Valley Dr, Austin,TX,78736
675000.00,1126 Linden St #1, Austin,TX,78702
448000.00,2804 S 1st St #1109, Austin,TX,78704
284500.00,8512 Palace Pkwy, Austin,TX,78748
739990.00,2716 Bear Springs Trl, Austin,TX,78748
539900.00,7417 Cordoba Dr, Austin,TX,78724
325000.00,908 Poplar St APT 309, Austin,TX,78705
849000.00,1506 Weyford Dr, Austin,TX,78757
349900.00,7405 Whispering Oaks Dr, Austin,TX,78745
479900.00,7601 Cooper Ln #29, Austin,TX,78745
305300.00,11707 Raymond C Ewry Ln, Austin,TX,78748
380000.00,4401 Keota Dr, Austin,TX,78749
989000.00,4307 Cat Mountain Dr, Austin,TX,78731
529000.00,1801 Duke Ave, Austin,TX,78757
139900.00,1705 Crossing Pl APT 132, Austin,TX,78741
619900.00,9903 Brandywine Cir, Austin,TX,78750
819000.00,2321 University Club Dr, Austin,TX,78732
339000.00,12612 Linford Dr, Austin,TX,78753
294900.00,4361 S Congress Ave UNIT 213, Austin,TX,78745
275000.00,1509 Airedale Rd #1302, Austin,TX,78748
303500.00,10109 Alley May Dr, Austin,TX,78748
1350000.00,4511 Avenue F, Austin,TX,78751
350000.00,1185 Greenwood Ave, Austin,TX,78721
749900.00,9206 Spring Hollow Dr, Austin,TX,78750
315000.00,2014 Magazine St, Austin,TX,78727
592000.00,3401 Kay St, Austin,TX,78702
530000.00,606 W Lynn St APT 2, Austin,TX,78703
215000.00,9226 Jollyville Rd APT 182, Austin,TX,78759
695000.00,9312 Rolling Oaks Trl, Austin,TX,78750
1350000.00,2714 Hillview Green Ln, Austin,TX,78703
750000.00,200 W Gibson St, Austin,TX,78704
