Asking Price,Street,City,State
"$223,000",7 Versante Ct #7, Houston, TX 77070
"$357,000",1230 Sienna Hill Dr, Houston, TX 77077
"$399,000",5239 Kiam St, Houston, TX 77007
"$149,500",8210 Orebo St, Houston, TX
"$319,000",73 Champion Villa Dr, Houston, TX 77069
"$745,000",3925 Case St, Houston, TX 77005
"$679,900",13602 Ashley Run, Houston, TX 77077
"$170,000",634 Rockbrook Dr, Houston, TX 77015
"$236,000",11818 Red Hummingbird Dr, Houston, TX 77047
"$250,000",1413 Palmer St, Houston, TX 77003
"$85,000",1106 Elberta St, Houston, TX 77051
"$199,900",6042 Hyacinth Path Way, Houston, TX 77049
"$3,575,000",255 Hedwig Rd, Houston, TX 77024
"$177,900",2255 Braeswood Park Dr APT 271, Houston, TX 77030
"$234,989",6011 Rockfowl Dr, Houston, TX 77049
"$285,000",14018 Sandalfoot St, Houston, TX 77095
"$399,900",44 N Hutcheson St, Houston, TX 77003
"$165,000",3131 Southwest Fwy APT 20, Houston, TX 77098
"$359,900",15950 Manor Square Dr, Houston, TX 77062
"$142,000",8747 Thistlemoor Ln, Houston, TX 77044
"$180,000",10210 Saddlehorn Trl, Houston, TX 77064
"$210,000",1850 Portsmouth St APT A, Houston, TX 77098
"$329,000",13722 Pear Woods Ct, Houston, TX 77059
"$229,000",2007 Marchwood Manor Dr, Houston, TX 77090
"$230,000",10006 Autumn Way Dr, Houston, TX 77064
"$209,100",4402 Rushing Ridge Ct, Houston, TX
"$160,000",12010 Becca Crossing Way, Houston, TX 77067
"$219,500",9518 Skyline Dr, Houston, TX 77063
"Est. $407,506",5350 Paisley St, Houston, TX 77096
"$209,900",12823 Pecan Shores Dr, Houston, TX 77044
"$309,500",2315 Parkdale Dr, Humble, TX 77339
"$112,000",3100 Jeanetta St APT 1102, Houston, TX 77063
"$599,900",5917 E Post Oak Ln, Houston, TX
"$219,900",1145 Country Place Dr, Houston, TX 77079
"$130,000",9025 Gaylord Dr N #111, Houston, TX 77024
"$245,000",6846 Oakwood Trace Ct, Houston, TX 77040
"$825,000",1600 Post Oak Blvd UNIT 802, Houston, TX 77056
"$350,000",1311 Sherwood Springs Ln, Houston, TX 77043
"$995,000",302 W 17th St, Houston, TX 77008
"$56,950",8726 Scott St, Houston, TX 77051
