Asking Price,Street,City,State
"$465,000",335 S Biscayne Blvd APT 1601, Miami, FL 33131
"$220,000",1200 Brickell Bay Dr APT 2410, Miami, FL 33131
"$3,400,000",1331 Brickell Bay Dr APT 3611, Miami, FL 33131
"$428,000",5729 NW 5th Ct, Miami, FL 33127
"$190,000",2575 SW 27th Ave APT 212, Miami, FL 33133
"$420,000",3890 NW 2nd Ter, Miami, FL 33126
"$490,000",591 SW 45th Ave, Coral Gables, FL 33134
"$359,900",770 Claughton Island Dr APT 1003, Miami, FL 33131
"$1,600,000",(undisclosed Address), Miami, FL 33137
"$439,900",1860 Coral Gate Dr, Miami, FL 33145
"$1,487,000",1010 Brickell Ave UNIT 4401, Miami, FL 33131
"$489,000",3350 SW 27th Ave APT 1708, Miami, FL 33133
"$379,900",2227 SW 24th Ter, Miami, FL 33145
"$350,000",1143 NW 58th St, Miami, FL 33127
"$710,000",975 SW 10th St, Miami, FL 33130
"$499,000",143 NW 39th St, Miami, FL 33127
"$330,000",185 SE 14th Ter APT 908, Miami, FL 33131
"$745,000",801 S Miami Ave UNIT 4310, Miami, FL
"$4,795,000",4131 SW 37th Ave, Miami, FL 33133
"$499,000",1900 N Bayshore Dr APT 1404, Miami, FL 33132
"$259,000",3470 E Coast Ave APT H0906, Miami, FL 33137
"$517,000",950 Brickell Bay Dr, Miami, FL 33131
"$465,000",2347 SW 18th St, Miami, FL 33145
"$34,000,000",1429 N Venetian Way, Miami Beach, FL 33139
"$489,900",246-248 NW 41st Ave, Miami, FL 33126
"$325,000",6700 NW 3rd Ave, Miami, FL 33150
"$4,400,000",3581 E Glencoe St #505, Miami, FL
"$2,200,000",7500 SW 55th Ave, Miami, FL 33143
"$1,385,000",769 NE 77th Ter, Miami, FL 33138
"$589,000",2725 SW 65th Ave, Miami, FL 33155
"$295,000",60 SW 13th St APT 2003, Miami, FL 33130
"$395,000",2525 SW 3rd Ave APT 1206, Miami, FL 33129
"$784,000",68 SE 6th St APT 907, Miami, FL 33131
"$1,145,000",650 NE 32nd St UNIT 2601, Miami, FL 33137
"$250,000",50 Biscayne Blvd APT 603, Miami, FL 33132
"$275,000",1750 N Bayshore Dr APT 4509, Miami, FL 33132
"$1,399,000",8641 Arboretum Ln, Miami, FL
"$550,000",2980 SW 16th Ter, Miami, FL 33145
"$485,000",901 Brickell Key Blvd APT 1602, Miami, FL 33131
"$2,999,999",568 Hibiscus Ln, Miami, FL 33137
