Asking Price,Street,City,State
"$799,000",5343 E Avalon Dr, Phoenix, AZ 85018
"$219,000",4502 W Continental Dr, Glendale, AZ 85308
"$449,000",1921 E Daley Ln, Phoenix, AZ 85024
"$385,000",4609 E Robert E Lee St, Phoenix, AZ 85032
"$624,995",1002 W Glenn Dr, Phoenix, AZ 85021
"$659,900",2158 E Sapium Way, Phoenix, AZ 85048
"$465,000",16638 S 38th Way, Phoenix, AZ 85048
"$270,000",2046 W Sherman St, Phoenix, AZ 85009
"$390,000",10612 N 27th St, Phoenix, AZ 85028
"$1,095,000",15215 N Kierland Blvd UNIT 432, Scottsdale, AZ 85254
"$675,000",16218 N 51st St, Scottsdale, AZ 85254
"$365,000",1117 E Fillmore St, Phoenix, AZ 85006
"$245,000",7044 S 16th Dr, Phoenix, AZ 85041
"$475,000",16330 N 2nd Ave, Phoenix, AZ 85023
"$599,000",9626 N 33rd St, Phoenix, AZ 85028
"$700,000",22831 N 39th Ter, Phoenix, AZ 85050
"$214,900",4050 W Rovey Ave, Phoenix, AZ 85019
"$425,000",4624 E Saint John Rd, Phoenix, AZ 85032
"$415,000",3308 W Florimond Rd, Phoenix, AZ 85086
"$80,000",16242 N 27th St, Phoenix, AZ 85032
"$269,500",475 N 9th St #307, Phoenix, AZ
"$699,800",16013 N 58th Pl, Scottsdale, AZ 85254
"$204,500",475 N 9th St #102, Phoenix, AZ
"$215,000",3852 N 63rd Dr, Phoenix, AZ 85033
"$249,900",4850 E Desert Cove Ave UNIT 241, Scottsdale, AZ 85254
"$220,000",5313 W Raymond St, Phoenix, AZ 85043
"$495,000",15221 N Clubgate Dr UNIT 2001, Scottsdale, AZ 85254
"$504,900",15221 N Clubgate Dr UNIT 2031, Scottsdale, AZ 85254
"$264,777",4037 W San Juan Ave, Phoenix, AZ 85019
"$1,095,000",4215 E Weldon Ave, Phoenix, AZ 85018
"$237,000",3625 W Saint Charles Ave, Phoenix, AZ 85041
"$204,900",8230 W Cheery Lynn Rd, Phoenix, AZ 85033
"$685,000",2347 W Coolidge St, Phoenix, AZ 85015
"$200,000",3532 W Banff Ln, Phoenix, AZ 85053
"$995,000",5130 N 22nd Ave, Phoenix, AZ 85015
"$480,000",5525 N 2nd Pl LOT 4, Phoenix, AZ 85012
"$230,000",801 W Piedmont Rd, Phoenix, AZ 85041
"$280,000",10120 W Raymond St, Tolleson, AZ 85353
"$359,900",14239 N 22nd St, Phoenix, AZ 85022
"$330,000",1622 E Cheery Lynn Rd, Phoenix, AZ 85016
