Asking Price,Street,City,State
"$479,900",6690 SE 67th Ave, Portland, OR
"$779,000",4224 SW Condor Ave, Portland, OR 97239
"$369,900",5286 NE 72nd Ave, Portland, OR 97218
"$399,900",4024 N Commercial Ave, Portland, OR 97227
"$485,000",3505 SE 16th Ave, Portland, OR 97202
"$485,000",4104 NE 73rd Ave, Portland, OR 97218
"$675,000",14585 NW Larson Rd UNIT 5, Portland, OR 97231
"$749,900",2565 NE 33rd Ave, Portland, OR 97212
"$590,000",2309 SW 1st Ave APT 942, Portland, OR 97201
"$365,000",6024 SE 89th Ave, Portland, OR 97266
"$399,900",14641 NE Russell Ct, Portland, OR 97230
"$649,000",17010 NW Tristan St, Portland, OR 97229
"$1,625,000",3401 NE Couch St, Portland, OR 97232
"$950,000",13929 NW Glendoveer Dr, Portland, OR 97231
"$780,000",1420 NW Lovejoy St APT 714, Portland, OR 97209
"$599,000",410 NE 71st Ave, Portland, OR 97213
"$965,000",1368 SW 58th Ave, Portland, OR 97221
"$758,000",10333 SW Terwilliger Pl, Portland, OR 97219
"$474,750",3909 SE Bybee Blvd, Portland, OR 97202
"$849,900",681 NW 94th Ter, Portland, OR 97229
"$399,000",5946 SE Kelly St, Portland, OR 97206
"$650,000",3100 NW Wilson St, Portland, OR 97210
"$189,000",6220 SW Capitol Hwy APT 7, Portland, OR 97239
"$465,000",5504 SW Seymour Ct, Portland, OR 97221
"$330,000",6816 SE 86th Ave, Portland, OR 97266
"$650,000",5254 N Princeton St, Portland, OR 97203
"$485,000",2824 SE Division St, Portland, OR 97202
"$254,950",14925 NE Sacramento St UNIT 20, Portland, OR 97230
"$419,950",6942 SE 112th Ave, Portland, OR 97266
"$319,900",610 SW Nevada St APT F, Portland, OR 97219
"$235,000",908 SW Gaines St APT 19, Portland, OR 97239
"$895,000",107 SW Kingston Ave, Portland, OR 97205
"$550,000",4233 SE Lexington St, Portland, OR 97206
"$249,900",4411 NE Killingsworth St UNIT 208, Portland, OR 97218
"$1,799,900",1920 SW River Dr UNIT 1202, Portland, OR 97201
"$760,000",4406 SE Belmont St, Portland, OR 97215
"$900,000",4333 NE Brazee St, Portland, OR 97213
"$410,000",17 NE Lombard St, Portland, OR 97211
"$637,500",7205 SE 71st Ave, Portland, OR 97206
"$785,000",6223 SE 31st Ave, Portland, OR 97202
