Asking Price,Street,City,State
"$2,195,000",450 Kansas St, San Francisco, CA 94107
"$1,495,000",815 Union St, San Francisco, CA 94133
"$1,805,000",280 Spear St UNIT 11A, San Francisco, CA 94105
"$1,249,000",631 Folsom St APT 11F, San Francisco, CA 94107
"$789,000",226 27th St APT 10, San Francisco, CA 94131
"$2,395,000",1500 11th Ave, San Francisco, CA 94122
"$2,150,000",324 32nd Ave, San Francisco, CA 94121
"$2,425,000",145 Buchanan St, San Francisco, CA 94102
"$2,199,000",1390 41st Ave, San Francisco, CA 94122
$--,Coming Soon Plan, Elevant,
"$1,190,000",134-150 Porter St, San Francisco, CA 94110
"$1,750,000",262 Funston Ave, San Francisco, CA 94118
"$1,375,000",398 Guerrero St #4, San Francisco, CA 94103
"$2,950,000",407 Missouri St, San Francisco, CA 94107
"$1,798,888",401 Harrison St APT 14C, San Francisco, CA 94105
"$950,000",1488 Harrison St APT 203, San Francisco, CA 94103
"$1,995,000",2828 Wawona St, San Francisco, CA 94116
"$1,500,000",1732 Fell St, San Francisco, CA 94117
"$5,600,000",164 Belvedere St, San Francisco, CA 94117
"$1,195,000",130 Baden St, San Francisco, CA 94131
"$2,995,000",76 Divisadero St, San Francisco, CA 94117
"$995,000",201-103 Harrison St, San Francisco, CA 94105
"$1,025,000",3301 Cesar Chavez #A, San Francisco, CA 94110
"$1,095,000",3305 Cesar Chavez St, San Francisco, CA 94110
"$1,699,000",875 Indiana St UNIT 515, San Francisco, CA 94107
"$2,250,000",480-482 Funston Ave, San Francisco, CA 94118
"$2,395,000",5 Dawson Pl, San Francisco, CA 94108
"$1,700,000",649 28th St, San Francisco, CA 94131
"$1,529,000",255 Berry St APT 519, San Francisco, CA 94158
"$4,998,000",2169 Folsom St APT M305, San Francisco, CA 94110
"$1,199,000",1278 Sacramento St, San Francisco, CA 94108
"$1,995,000",338 Main St UNIT 17A, San Francisco, CA 94105
"$749,000",1 Edgar Pl, San Francisco, CA 94112
"$1,495,000",1904 Steiner St #C, San Francisco, CA 94115
"$878,000",197-199 Joost Ave, San Francisco, CA 94131
"$1,149,000",401 Harrison St APT 24G, San Francisco, CA 94105
"$1,895,000",262 6th Ave, San Francisco, CA 94118
"$949,000",1222 43rd Ave, San Francisco, CA 94122
"$1,399,000",10 S Park St APT 9, San Francisco, CA 94107
"$3,750,000",888 Waller St, San Francisco, CA 94117
