"Miami, FL",Beatdapp,Data Scientist (Top 20 Music Company Globally on Crunchbase),
"Coral Gables, FL",Quirch Foods,Data Scientist,3.2
"North Miami, FL 33161",Excel Impact,Data Scientist,
"Miami, FL",Amerant Bank,Business Data Scientist II,4.2
"Boca Raton, FL",Guardian Eagle,Data Scientist,
"West Palm Beach, FL 33411",Naztec International Group LLC,AI/ML - Machine Learning R&D Scientist,
"Fort Lauderdale, FL 33316 (Poinciana Park area)",Chewy,Data Scientist,2.7
"Boca Raton, FL 33431",ADT Security Services,Marketing Media Data Scientist,3.4
"Miami, FL",Mixed In Key,Freelance Data Scientist for an Award-Winning Music Software Company,
"Miami, FL","Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,3.6
,ConMet,Data Scientist (Automotive / IoT Connected Products),
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,
"Salem, OR",Pearson,Data Scientist,3.8
"Portland, OR",Schrödinger,Data Scientist,
"Beaverton, OR 97008 (Greenway area)","DAT Solutions, LLC",Data Scientist I,
"Portland, OR",Mars Petcare,Data Scientist,3.9
"Portland, OR",Natera,Data Scientist - Deep Learning,2.8
"Corvallis, OR 97330",HP,3D Engineering / Data Science Developer Intern,4.0
"Portland, OR",Kinsa Inc.,Senior Data Scientist,
"Washougal, WA 98671",Printforia,Chief Data Officer (CDO),
"Vancouver, WA 98664 (North Garrison Heights area)",PeaceHealth,Clinical Data Scientist - Quality Analytics,3.5
"Portland, OR",Vesta Corporation,Data Scientist,
"Vancouver, WA",Amsted Industries,DATA SCIENTIST (AUTOMOTIVE / IOT CONNECTED PRODUCTS),2.5
"Portland, OR",Kinship,Sr. Machine Learning Data Scientist,4.6
"Washougal, WA 98671",Printforia,Machine Learning Engineer,
,SubjectWell,Data Scientist,
"Austin, TX 78712 (University of Texas area)",University of Texas at Austin,Remote Sensing Data Scientist,4.3
"Austin, TX",Pearson,Data Scientist,3.8
"Austin, TX (Downtown area)",Google,"Data Scientist, Cloud Support Data and Analytics",4.3
"Austin, TX",Sasquatch Talent,Data Scientist-NLP,
"Austin, TX",FEDDATA,Data Scientist,4.3
"Austin, TX",Apple,"Data Scientist, Ad Platforms/Data Insights",4.2
"Austin, TX 78759 (North Shoal Creek area)","Signature Science, LLC",Data Scientist (ML and Image Processing),3.1
"Austin, TX 73301 (St Edwards area)",Thrivent Financial,Data Scientist (remote),3.9
"Waco, TX",Texas Farm Bureau Casualty Insurance Company,Data Scientist,
"Austin, TX",Mott MacDonald,Data scientist,3.9
"Austin, TX",Facebook,"Data Scientist, Product Analytics",4.2
"Austin, TX 78701 (Downtown area)",The Zebra,Data Scientist,4.0
"Austin, TX",Deloitte,"Data Scientist Active Secret Clearance - Austin, TX",4.0
"Austin, TX 78703 (Downtown area)",Whole Foods Market,Data Scientist (Marketing Analytics),3.8
,Brinks Home Security™,Data Scientist,3.4
,Biomerieux,"Sr. Data Scientist - Chicago, IL",3.8
,Rotoplas USA,Data Scientist,
"Dallas, TX",Cloudbigdata Technologies,Entry level Data Scientist,
"Dallas, TX",Pilot Flying J,Data Scientist,3.3
"Westlake, TX 76262",Charles Schwab Inc.,Junior Data Scientist,4.0
"Dallas, TX 75201 (City Center District area)",BrightPoint Solutions,Data Scientist,
"Carrollton, TX 75010",AmerisourceBergen,Data Scientist,3.4
"Farmers Branch, TX 75234",Brinks Home Security™,Data Scientist,3.4
"Dallas, TX 75390 (Near East area)",UT Southwestern Medical Center,Data Scientist,
"Fort Worth, TX 76101 (Downtown area)",Thrivent Financial,Data Scientist (remote),3.9
"Plano, TX 75025",Alagar,Data Scientist,
"Farmers Branch, TX 75234",Brinks Home Security,Data Scientist,3.4
,BICP,"Data Engineer, Machine Learning",5.0
,GM Financial,Lead Data Scientist - Machine Learning,3.7
,Soaren Management,Data Scientist,4.1
,Brooksource,Data Scientist,3.8
,Parker and Lynch,Data Scientist,3.2
"Phoenix, AZ",Pearson,Data Scientist,3.8
"Scottsdale, AZ 85254 (Paradise Valley area)",Soaren Management,Data Scientist,4.1
"Gilbert, AZ 85296",Town of Gilbert,Economic Development Data Scientist I,2.9
"Phoenix, AZ",Youth Power Technosoft LLC,Data Scientist,
"Phoenix, AZ",Sciata,Data Scientist,
"Phoenix, AZ",Impetus Technologies,Associate Data Scientist,4.1
"Phoenix, AZ",State of Arizona,Senior Data Analyst,3.5
"Scottsdale, AZ",Discount Tire Corporate Careers,Principal Data Scientist,4.0
"Phoenix, AZ 85004 (Central City area)",Scientific Technologies Corporation,Data Scientist / Data Modeler,3.3
"Tempe, AZ 85281",Shutterfly,Sr. Data Scientist II,3.8
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,
