Asking Price,Street,City,State
"$599,000",7261 Inkster Rd, Bloomfield Hills, MI 48301
"$99,900",408 Fox Hills Dr S #6, Bloomfield Hills, MI 48304
"$748,900",1808 E Mohawk Ct, Bloomfield Hills, MI 48302
"$450,000",3957 Spur Hill Dr, Bloomfield Hills, MI 48304
"$899,000",3060 Chickering Ln, Bloomfield Hills, MI 48302
"$389,000",2517 Wildbrook Run, Bloomfield Hills, MI 48304
"$849,000",4386 Compton Way, Bloomfield Hills, MI 48302
"$699,900",3939 Oakland Dr, Bloomfield Hills, MI 48301
"$1,250,000",580 Hamilton Rd, Bloomfield Hills, MI 48301
"$1,850,000",1257 Water Cliff Dr, Bloomfield Hills, MI 48302
"$275,000",4535 Pickering Rd, Bloomfield Hills, MI 48301
"$399,900",6070 Darramoor Rd, Bloomfield Hills, MI 48301
"$875,000",366 Sycamore Ct, Bloomfield Hills, MI 48302
"$995,000",1351 Club Dr, Bloomfield Hills, MI 48302
"$789,000",3225 E Bradford Dr, Bloomfield Hills, MI 48301
"$599,950",2849 Whittier Dr, Bloomfield Hills, MI 48304
"$415,000",1857 Ledbury Dr, Bloomfield Hills, MI 48304
"$449,000",1030 Joanne Ct, Bloomfield Hills, MI 48302
"$519,000",766 E Valley Chase Rd, Bloomfield Hills, MI 48304
"$199,900",4041 W Maple Rd APT E103, Bloomfield, MI 48301
"$459,000",7380 Saint Auburn Dr, Bloomfield Hills, MI 48301
"$975,000",711 Kennebec Ct, Bloomfield Hills, MI 48304
"$1,149,000",257 Chestnut Cir, Bloomfield Hills, MI 48304
"$227,500",1650 Trailwood Path APT B, Bloomfield Hills, MI 48301
"$168,500",2005 Klingensmith Rd UNIT 64, Bloomfield Hills, MI 48302
"$1,025,000",46 Bataan Dr, Bloomfield Hills, MI
"$1,300,000",1184 Copperwood Dr, Bloomfield Hills, MI 48302
"$935,000",558 Kingsley Trl, Bloomfield Hills, MI 48304
"$629,900",3714 Durham Ct, Bloomfield Hills, MI 48302
"$700,000",3844 Mystic Valley Dr, Bloomfield Hills, MI 48302
"$799,900",1289 Water Cliff Dr, Bloomfield Hills, MI 48302
"$1,499,900",3057 Heron Pointe Dr, Bloomfield Hills, MI 48302
"$569,000",5310 Longmeadow Rd, Bloomfield Hills, MI 48304
"$894,990+",Hickory Plan, The Villas at Bloomfield Grove,
"$600,000",320 N Clifton Rd, Bloomfield Hills, MI 48301
"$2,899,000",491 Martell Dr, Bloomfield Hills, MI 48304
"$749,500",559 Overhill Rd, Bloomfield Hills, MI 48301
"$749,900",182 N Glengarry Rd, Bloomfield Hills, MI 48301
"$799,000",473 N Cranbrook Rd, Bloomfield Hills, MI 48301
"$725,000",95 Hadsell Dr, Bloomfield Hills, MI 48302
