Asking Price,Street,City,State
"$174,900",3312 N Stoneycrest Rd, Bloomington, IN 47404
"$363,500",2312 S Montclair Ave, Bloomington, IN 47401
"$599,500",415 W 7th St #274-275, Bloomington, IN 47404
"$145,000",3221 N Kinser Pike, Bloomington, IN 47404
"$148,900",708 S Cory Ln LOT 84, Bloomington, IN 47403
"$309,900",4515 S Cardinal Dr, Bloomington, IN 47403
"$239,900",1440 W Petal Ct, Bloomington, IN 47403
"$144,900",604 W Allen St, Bloomington, IN 47403
"$128,000",872 E Sherwood Hills Dr, Bloomington, IN 47401
"$499,900",3313 S Forrester St, Bloomington, IN 47401
"$199,900",5302 W Sycks Ct, Bloomington, IN 47404
"$279,000",3648 S Sowder Sq, Bloomington, IN 47401
"$129,900",9312 S Lake Ridge Dr #54, Bloomington, IN 47401
"$340,000",4000 S Jamie Ln, Bloomington, IN 47401
"$285,000",4321 E Walpole Ln, Bloomington, IN 47408
"$280,000",322 E 1st St, Bloomington, IN 47401
"$157,500",160 N Park Ridge Rd, Bloomington, IN 47408
"$235,000",3950 S Knightridge Rd, Bloomington, IN 47401
"$515,000",4291 S Windmill Ln, Bloomington, IN
"$1,250,000",1501-1503 1513 S Walnut Street 106 & 110 E Hillside Dr #106, Bloomington, IN 47401
"$149,900",921 E Waterloo Dr, Bloomington, IN 47401
"$26,500",1390 W 8th St, Bloomington, IN 47404
"$57,900",4713 N Triple Crown Dr, Bloomington, IN 47404
"$53,900",4629 N Triple Crown Dr, Bloomington, IN 47404
"$53,900",4640 N Triple Crown Dr, Bloomington, IN 47404
"$49,900",4685 N Triple Crown Dr, Bloomington, IN 47404
"$53,900",4635 N Triple Crown Dr, Bloomington, IN 47404
"$49,900",4663 N Triple Crown Dr, Bloomington, IN 47404
"$53,900",4649 N Triple Crown Dr, Bloomington, IN 47404
"$49,900",4671 N Triple Crown Dr, Bloomington, IN 47404
"$57,900",4714 N Triple Crown Dr, Bloomington, IN 47404
"$57,900",4726 N Triple Crown Dr, Bloomington, IN 47404
"$134,900",221 N Adams St, Bloomington, IN 47404
"$375,000",915 S Rainier Ct, Bloomington, IN 47401
"$209,000",1398 W 8th St, Bloomington, IN 47404
"$189,900",3720 W Fullerton Pike, Bloomington, IN 47403
"$214,777",2566 S Addisyn Ln, Bloomington, IN 47403
"$449,000",304-308 W Kirkwood St, Bloomington, IN 47404
"$1,250,000",1501-1501 1503 1513 S Walnut Street 106 #&-110, Bloomington, IN 47401
"$595,000",2150 E Mel Currie Rd, Bloomington, IN 47408
