Asking Price,Street,City,State
"$699,900+",Five Plan, Alto at Stapleton,
"$879,000",4551 Vrain St, Denver, CO 80212
"$699,900",3203 N Saint Paul St, Denver, CO 80205
"$939,900+",Two Plan, Luxe at Stapleton,
"$724,900",3201 N Saint Paul St, Denver, CO 80205
"$349,000",3926 E Evans Ave, Denver, CO 80210
"$1,350,000",3740 E 3rd Ave, Denver, CO 80206
"$527,500",410 Acoma St #2-UNIT 5-1, Denver, CO 80204
"$660,000+",2B Plan, The Met at Boulevard One,
"$1,400,000",2230 N Glencoe St, Denver, CO 80207
"$579,900",2125 Niagara St, Denver, CO 80207
"$317,500+",Aster Plan, The Horizon Collection at Altaira at High Point,
"$429,000",14470 Stoll Pl, Denver, CO 80239
"$389,000",630 S Decatur St, Denver, CO 80219
"$850,000+",Two Plan, Vive at Stapleton,
"$699,900+",Four Plan, Alto at Stapleton,
"$895,000",3444 Navajo St #10, Denver, CO 80211
"$329,000",9300 E Florida Ave UNIT 1004, Denver, CO 80247
"$2,600,000",550 Fillmore St, Denver, CO 80206
"$995,000",4715 N Vallejo St, Denver, CO 80211
"$392,000+",Torrey Plan, The Summit Collection at Altaira at High Point,
"$599,000",3201 Olive St, Denver, CO 80207
"$949,900+",One Plan, Luxe at Stapleton,
"$650,000",4431 N Tennyson St UNIT 5, Denver, CO 80212
"$662,000",4431 N Tennyson St UNIT 12, Denver, CO 80212
"$675,000",4431 N Tennyson St UNIT 1, Denver, CO 80212
"$1,100,000",4636 Bryant St, Denver, CO 80211
"$471,200",5179 N Eliot St, Denver, CO 80221
"$650,000",4431 N Tennyson St UNIT 4, Denver, CO 80212
"$657,000",4431 N Tennyson St UNIT 8, Denver, CO 80212
"$499,000",1344 Winona Ct, Denver, CO 80204
"$310,000",615 Perry St, Denver, CO 80204
"$279,900",677 Vrain St APT 10, Denver, CO 80204
"$339,900",1725 Yosemite St, Denver, CO 80220
"$799,000",3529 Quivas St, Denver, CO 80211
"$439,000",350 Detroit St APT 309, Denver, CO 80206
"$300,000",3810 S Yosemite St, Denver, CO 80237
"$828,135",6808 E Lowry Blvd, Denver, CO 80230
"$499,500",350 Detroit St APT 408, Denver, CO 80206
"$296,500+",Frontier Plan, The Westerly Collection at Altaira at High Point,
