Asking Price,Street,City,State
"$330,000",16795 Renwick St, Livonia, MI 48154
"$163,900",9132 Sunbury St, Livonia, MI 48150
"$232,000",35844 Richland St, Livonia, MI 48150
"$219,900",15486 Surrey St, Livonia, MI 48154
"$239,900",9323 Eastwind Dr, Livonia, MI 48150
"$329,900",34037 Burton Ln, Livonia, MI 48154
"$389,900",35557 Seven Mile Rd, Livonia, MI 48152
"$293,900",15925 Woodring Dr, Livonia, MI 48154
"$259,900",36554 Grandon St, Livonia, MI 48150
"$195,000",29955 Richland St, Livonia, MI 48150
"$152,900",9143 Deering St, Livonia, MI 48150
"$280,000",11402 Denne St, Livonia, MI 48150
"$260,000",33079 Oakley St, Livonia, MI 48154
"$300,000",17418 Country Club Dr, Livonia, MI 48152
"$255,000",17498 Doris St, Livonia, MI 48152
"$239,900",30855 Fargo St, Livonia, MI 48152
"$274,900",18963 Bainbridge Ave, Livonia, MI 48152
"$249,900",37160 Sherwood St, Livonia, MI 48154
"$175,000",20125 Rensellor St, Livonia, MI 48152
"$190,000",35457 Elmira St, Livonia, MI 48150
"$305,900",35511 Wood St, Livonia, MI 48154
"$235,000",15186 Norman St, Livonia, MI 48154
"$239,900",34210 Orangelawn St, Livonia, MI 48150
"$364,900",16533 Country Club Dr, Livonia, MI 48154
"$170,000",32710 Ohio St, Livonia, MI 48150
"$229,900",18419 Irving St, Livonia, MI 48152
"$144,900",19628 Rensellor St, Livonia, MI 48152
"$379,900",34608 Pinehurst Dr, Livonia, MI 48154
"$369,900",37749 Pickford Dr, Livonia, MI 48152
"$209,900",14518 Melrose St, Livonia, MI 48154
"$239,900",35312 Elmira St, Livonia, MI 48150
"$349,000",27928 Western Golf Dr, Livonia, MI 48154
"$275,000",15132 Blue Skies St, Livonia, MI 48154
"$85,000",27724 Fargo St, Livonia, MI 48152
"$310,000",15525 Hubbard St, Livonia, MI 48154
"$179,900",11200 Harrison St, Livonia, MI 48150
"$2,000,000",31630 Plymouth Rd, Livonia, MI 48150
"$285,000",30647 Pickford St, Livonia, MI 48152
"$255,000",18597 Levan Rd, Livonia, MI 48152
"$169,900",29683 Nottingham Cir, Livonia, MI 48152
