Asking Price,Street,City,State
"$225,000",5718 Meadowview St, Ypsilanti, MI 48197
"$264,900",7469 Dover Dr, Ypsilanti, MI 48197
"$145,000",215 Arcade St, Ypsilanti, MI 48197
"$359,900",6906 Plainview St, Ypsilanti, MI 48197
"$299,000",6399 Enchanted Dr, Ypsilanti, MI 48197
"$309,900",3530 Cloverlawn Ave, Ypsilanti, MI 48197
"$267,900",7092 Pamela Dr, Ypsilanti, MI 48197
"$119,900",318 W Ainsworth St, Ypsilanti, MI 48197
"$246,990+",The Edgewater Plan, Majestic Lakes,
"$189,000",816 Dwight St, Ypsilanti, MI 48198
"$229,000",5135 Applewood Dr, Ypsilanti, MI 48197
"$131,000",2976 Roundtree Blvd, Ypsilanti, MI 48197
"$250,000",506 N Adams St, Ypsilanti, MI 48197
"$150,000",701 E Cross St, Ypsilanti, MI 48198
"$324,900",706 Cornell Rd, Ypsilanti, MI 48197
"$337,500",8951 Indigo Ln, Ypsilanti, MI 48197
"$300,000",1447 Witmire St, Ypsilanti, MI 48197
"$250,000",8148 Lake Crest Dr, Ypsilanti, MI 48197
"$225,000",7304 Cypress Pointe Dr, Ypsilanti, MI 48197
"$195,000",3115 Primrose Ln, Ypsilanti, MI 48197
"$280,990+",The Austin Plan, Majestic Lakes,
"$184,990+",The Avery Plan, Crystal Pond,
"$303,990+",The Hampton Plan, Majestic Lakes,
"$299,900",4661 Hickory Pointe Blvd, Ypsilanti, MI 48197
"$359,000",3236 Hillside Dr, Ypsilanti, MI 48197
"$184,990+",The Ella Plan, Crystal Pond,
"$780,000",921 Woods Dr, Ypsilanti, MI 48197
"$116,000",1640 Washtenaw Rd, Ypsilanti, MI 48197
"$266,990+",The Columbia Plan, Majestic Lakes,
"$169,500",6010 S Mohawk Ave, Ypsilanti, MI 48197
"$68,995+",9937 Julie Drive Site #126 Plan, Lakeview,
"$300,000",1447 Witmire Ave, Ypsilanti, MI 48197
"$369,990",4305 Rolling Meadow Ln, Ypsilanti, MI
"$68,995+",6242 Rick Street Site #024 Plan, Lakeview,
"$249,990+",The Harvest Plan, Majestic Lakes,
"$370,000",5070 Chatfield Dr, Ypsilanti, MI 48197
"$377,990",4291 Rolling Meadow Ln, Ypsilanti, MI
"$289,900",6400 Jonquil Ln, Ypsilanti, MI 48197
"$288,990+",The Forest Plan, Majestic Lakes,
"$256,990+",The Bloomington Plan, Majestic Lakes,
