Asking Price,Street,City,State
"$349,900",2537 Paul Ave NW, Atlanta, GA 30318
"$199,000",1391 Audubon Ct SW LOT 8, Atlanta, GA 30311
"$734,500",495 Harold Ave NE, Atlanta, GA 30307
"$174,000",541 Springside Dr SE, Atlanta, GA 30354
"$162,500",1429 Hawkins St NW, Atlanta, GA 30314
"$399,900",2012 Shirley St SW, Atlanta, GA 30311
"$274,500",3445 Stratford Rd NE APT 1805, Atlanta, GA 30326
"$175,000",2855 Peachtree Rd NE APT 213, Atlanta, GA 30305
"$586,900",1976 Westside Blvd, Atlanta, GA
"$1,350,000",471 Pine Tree Dr NE, Atlanta, GA 30305
"$265,000",1735 Peachtree St NE UNIT 404, Atlanta, GA 30309
"$170,000",3655 Habersham Rd NE APT B347, Atlanta, GA 30305
"$300,000",1053 Astor Ave SW, Atlanta, GA 30310
"$215,000",284 Morris Brown Ave NW, Atlanta, GA 30314
"$175,000",183 Amherst Pl NW, Atlanta, GA 30327
"$758,000",1051 Monroe Dr NE, Atlanta, GA 30306
"$325,000",1735 Peachtree St NE UNIT 224, Atlanta, GA 30309
"$274,900",635 Myrtle St NE APT 11, Atlanta, GA 30308
"$1,375,000",3799 Northside Dr NW, Atlanta, GA 30305
"$695,000",603 Howard St, Atlanta, GA 30317
"$445,900+",McKlaren Plan, Main Street Commons,
"$129,900",78 Delmoor Dr NW, Atlanta, GA 30311
"$289,900",44 Peachtree Pl NW UNIT 528, Atlanta, GA 30309
"$300,000",1830 Flat Shoals Rd SE, Atlanta, GA 30316
"$580,000+",Dudley Cottage Plan, Oxley Edgewood,
"$252,500",23108 Plantation Dr #108, Atlanta, GA 30324
"$1,895,000",727 Courtenay Dr NE, Atlanta, GA
"$132,000",32 Peachtree St NW APT 401, Atlanta, GA 30303
"$479,900",3324 Peachtree Rd NE UNIT 2805, Atlanta, GA 30326
"$675,000",3033 Stone Gate Dr NE, Atlanta, GA 30324
"$310,000",860 Peachtree St NE UNIT 2707, Atlanta, GA 30308
"$1,895,000",1026 Robin Ln NE, Atlanta, GA 30306
"$249,000",955 Juniper St NE, Atlanta, GA 30309
"$238,900",6524 Mountain Home Way, Mableton, GA
"$226,900",6528 Mountain Home Way, Mableton, GA
"$238,900",6548 Mountain Home Way, Mableton, GA
"$178,900",2700 Pine Tree Rd NE UNIT 2216, Atlanta, GA 30324
"$442,900+",The Abernathy Plan, Pratt Stacks,
"$1,450,000",1363 Peachtree Battle Ave NW, Atlanta, GA 30327
"$574,900",836 Canterbury Overlook, Atlanta, GA 30324
