Asking Price,Street,City,State
"$375,000",3217 Darvany Dr, Dallas, TX 75220
"$150,000",5302 Bexar St, Dallas, TX 75215
"$809,999",18709 Campbell Rd, Dallas, TX 75252
"$549,000",6161 Glennox Ln, Dallas, TX 75214
"$380,000",4335 Vandelia St, Dallas, TX 75219
"$217,500",2366 Ballycastle Dr, Dallas, TX 75228
"$225,000",2620 Province Ln, Dallas, TX 75228
"$95,000",6646 E Lovers Ln #1808, Dallas, TX 75214
"$239,000",2936 Harbinger Ln, Dallas, TX 75287
"$2,595,000",1 Lakeside Park, Dallas, TX 75225
"$1,075,000",6506 Prestonshire Ln, Dallas, TX 75225
"$206,000",3106 Crest Ridge Dr, Dallas, TX 75228
"$194,900",7107 Elderberry Ln, Dallas, TX 75249
"$529,000",5821 Goliad Ave, Dallas, TX 75206
"$225,000",7308 Little Canyon Rd, Dallas, TX 75249
"$349,900",13090 Meandering Way, Dallas, TX 75240
"$165,000",10530 Stone Canyon Rd APT 107, Dallas, TX 75230
"$1,400,000",4200 Shorecrest Dr LOT 14, Dallas, TX 75209
"$397,000",6740 Hunters Ridge Dr, Dallas, TX 75248
"$135,000",6821 Latta Pkwy, Dallas, TX 75227
"$995,000",8625 La Prada Dr, Dallas, TX 75228
"$347,000",(undisclosed Address), Dallas, TX 75238
"$174,900",8553 Bearden Ln, Dallas, TX 75227
"$214,000",2739 Locust Ave, Dallas, TX 75216
"$539,000",4219 Somerville Ave, Dallas, TX 75206
"$499,000",3246 N Haskell Ave, Dallas, TX 75204
"$365,000",3828 San Jacinto St, Dallas, TX 75204
"$875,000",6031 Velasco Ave, Dallas, TX 75206
"$240,000",4535 Weldon St LOT 11, Dallas, TX 75204
"$45,000",509 Parkwood Dr, Dallas, TX 75224
"$895,000",6330 Llano Ave, Dallas, TX 75214
"$154,900",4337 Kolloch Dr, Dallas, TX 75216
"$259,900",4418 Bowser Ave APT 104, Dallas, TX 75219
"$377,990",5964 Fox Hill Ln, Dallas, TX 75232
"$2,699,999",6814 Northport Dr, Dallas, TX 75230
"$985,000",8718 Rexford Dr, Dallas, TX 75209
"$799,000",701 S Clinton Ave, Dallas, TX 75208
"$289,000",3454 Borger St, Dallas, TX 75212
"$375,000",10127 Cimmaron Trl, Dallas, TX 75243
"$480,000",7503 Aberdon Rd, Dallas, TX 75252
