Asking Price,Street,City,State
"$350,000",17-44 166th St, Whitestone, NY 11357
"$324,900",448 Neptune Ave APT 18A, Brooklyn, NY 11224
"$380,000",637 41st St APT 2D, Brooklyn, NY 11232
"$340,000",21-68 35th St #3F, Astoria, NY 11105
"$1,799,000",18-13 26th Ave #1, Astoria, NY 11102
"$210,000",255 Fieldston Ter APT 4E, Bronx, NY 10471
"$228,000",19958 21st Ave #1-166, Whitestone, NY 11357
"$388,000",9952 66th Rd APT 9D, Rego Park, NY 11374
"$449,000",3165 Emmons Ave APT 1E, Brooklyn, NY 11235
"$669,000",1973 E 33rd St, Brooklyn, NY 11234
"$1,750,000",129 Tiffany Pl #A, Brooklyn, NY 11231
"$1,499,000",433 Beach 143 St, Rockaway Park, NY 11694
"$695,000",249 Eldridge St APT 19, New York, NY 10002
"$725,000",314 W 19th St APT 4A, New York, NY 10011
"$450,000",14 Orchard St APT 4G, New York, NY 10002
"$276,400",70 Selvin Loop #1, Staten Island, NY 10303
"$765,000",3425 Olinville Ave, Bronx, NY 10467
"$665,850",8081 88th Ave, Jamaica, NY 11421
"$849,850",1181 E 84th St, Brooklyn, NY 11236
"$899,900",104-09 Martense Ave, Corona, NY 11368
"$1,200,000",246-11 52nd Ave, Little Neck, NY 11362
"$665,000",1912 Avenue H #4H, Brooklyn, NY 11230
"$1,625,000",120 E 75th St #7A, New York, NY 10021
"$875,000",305 E 24th St APT 11B, New York, NY 10010
"$300,000",54-17 31st Ave #A2O, Woodside, NY 11377
"$563,500",3424 Tiemann Ave, Bronx, NY 10469
"$448,500",2666 Briggs Ave, Bronx, NY 10458
"$4,370,000",25 Central Park W APT 16I, New York, NY 10023
"$435,000",210 E 21st St APT 4D, New York, NY 10010
"$415,000",61-35 98th St #7H, Rego Park, NY 11374
"$829,000",2 Tudor City Pl APT 4JS, New York, NY 10017
"$2,550,000",200 Chambers St APT 16B, New York, NY 10007
"$569,000",12202 Linden Blvd, South Ozone Park, NY 11420
"$584,200",10242 188th St, Jamaica, NY 11423
"$572,700",16 W 11th Rd, Broad Channel, NY 11693
"$517,500",74 Dubois Ave, Staten Island, NY 10310
"$429,000",103-06 Rockaway Beach Blvd #1A, Rockaway Park, NY 11694
"$330,000",29 Eleanor Pl, Staten Island, NY 10303
"$1,348,888",8770 25th Ave, Brooklyn, NY 11214
"$836,000",182 Olympia Blvd, Staten Island, NY 10305
