Asking Price,Street,City,State
"$249,900",90 Mount Lebanon Blvd, Pittsburgh, PA 15228
"$334,900",416 Hickory Ct, Pittsburgh, PA 15238
"$269,900",4587 Clubvue Dr, Pittsburgh, PA 15236
"$269,900",4587-1110 Greentree Rd, Pittsburgh, PA 15220
"$449,000",519 Farndale Rd, Pittsburgh, PA 15238
"$234,000",130 Link Ave, Pittsburgh, PA 15237
"$429,000",31 Mission Dr, Pittsburgh, PA 15228
"$115,000",88 Beltzhoover Ave, Pittsburgh, PA 15210
"$664,900",820 College Ave, Pittsburgh, PA 15232
"$139,000",128 Williams Pl, Pittsburgh, PA 15221
"$598,000",2343 Morton Rd, Pittsburgh, PA 15241
"$319,900",915 Wettach St, Pittsburgh, PA 15212
"$299,949",569 Kelso Rd, Pittsburgh, PA 15243
"$69,900",1431 Adams St, Pittsburgh, PA 15233
"$345,000",1212 Sky Ridge Dr, Pittsburgh, PA 15241
"$2,650,000",1 Edgewood Rd, Pittsburgh, PA 15215
"$199,000",1967 W Beckert Ave, Pittsburgh, PA 15212
"$285,000",517 Perrymont Rd, Pittsburgh, PA 15237
"$319,900",533 Moreland Dr, Pittsburgh, PA 15243
"$27,000",3919 Portman Ave, Pittsburgh, PA 15214
"$25,000",424 Saint Joseph St, Pittsburgh, PA 15210
"$138,000",4575 Echo Glen Dr, Pittsburgh, PA 15236
"$75,000",1516 Loretta Dr, Pittsburgh, PA 15235
"$429,000",464 Arden Rd, Pittsburgh, PA 15216
"$279,900",2320 Eldridge St, Pittsburgh, PA 15217
"$114,700",761 Lee Avenue Ext, Pittsburgh, PA 15237
"$195,000",4723 Theodore St, Homestead, PA 15120
"$229,000",132 Brunner Dr, Pittsburgh, PA 15214
"$85,000",420 N Chestnut St APT 103, Pittsburgh, PA 15202
"$284,000",184 Martha Ave, Pittsburgh, PA 15209
"$235,000",1 Trimont Ln APT 202P, Pittsburgh, PA 15211
"$285,000",186 S 16th St, Pittsburgh, PA 15203
"$269,900",5605 Villahaven Dr, Pittsburgh, PA 15236
"$219,000",10 Chestnut St, Pittsburgh, PA 15202
"$325,000",104 Seddon Rd, Pittsburgh, PA 15218
"$1,250,000",692 Country Club Dr, Pittsburgh, PA 15228
"$649,000",28 Easton Rd, Pittsburgh, PA 15238
"$178,500",2216 Palm Beach Ave, Pittsburgh, PA 15216
"$369,900",2344 Norton Rd, Pittsburgh, PA 15241
"$235,500",5 Bayard Rd APT 819, Pittsburgh, PA 15213
