Asking Price,Street,City,State
"$800,000",1511 E Marion St, Seattle, WA 98122
"$785,000",3723 60th Ave SW, Seattle, WA 98116
"$525,000",2911 2nd Ave UNIT 1017, Seattle, WA 98121
"$460,000",159 Denny Way APT 210, Seattle, WA 98109
"$1,249,999",2631 W Boston St, Seattle, WA 98199
"$980,000",1928 35th Ave W, Seattle, WA 98199
"$1,350,000",1018 W Garfield St, Seattle, WA 98119
"$535,000",5016 California Ave SW APT 606, Seattle, WA 98136
"$749,950",125 E Lynn St UNIT 103, Seattle, WA 98102
"$575,000",7053 16th Ave SW, Seattle, WA 98106
"$525,000",328 NW 79th St, Seattle, WA 98117
"$875,000",11549 24th Ave NE, Seattle, WA 98125
"$380,000",1221 Minor Ave APT 601, Seattle, WA 98101
"$799,000",8132 5th Ave SW, Seattle, WA 98106
"$565,000",2911 2nd Ave UNIT 304, Seattle, WA 98121
"$515,000",2801 1st Ave APT 1102, Seattle, WA 98121
"$1,099,000",6518 1st Ave NW, Seattle, WA 98117
"$719,950",2131 N 88th St, Seattle, WA 98103
"$290,000",2334 NE 102nd St APT 203, Seattle, WA 98125
"$667,000",1766 NW 59th St #B, Seattle, WA 98107
"$1,899,950",342 NW 89th St, Seattle, WA
"$375,000",3661 Phinney Ave N APT 106, Seattle, WA 98103
"$945,000",1728 104th Ave NE, Seattle, WA 98125
"$889,000",1106 NW 64th St, Seattle, WA 98107
"$2,750,000",1414 E Valley St, Seattle, WA 98112
"$874,950",3104 14th Ave S, Seattle, WA 98144
"$795,000",4710 48th Ave S, Seattle, WA 98118
"$1,049,950",588 Bell St #2802S, Seattle, WA 98121
"$900,000",7541 Seward Park Ave S, Seattle, WA 98118
"$395,000",2414 1st Ave APT 508, Seattle, WA 98121
"$799,999",5725 38th Ave NE, Seattle, WA 98105
"$324,950",408 Bellevue Ave E APT 305, Seattle, WA 98102
"$1,375,000",11023 23rd Ave NE, Seattle, WA
"$975,000",1634 N 53rd St, Seattle, WA 98103
"$819,000",1808 Minor Ave #2407, Seattle, WA 98101
"$645,000",1308 S College St, Seattle, WA 98144
"$399,999",275 W Roy St APT 104, Seattle, WA 98119
"$425,000",2415 2nd Ave APT 549, Seattle, WA 98121
"$825,000",2112 14th Ave S, Seattle, WA
"$639,000",3047 NE 97th St, Seattle, WA 98115
